player,age,nationality,position,team,top5,minutes_90s,Spinta = Low,Spinta = Average,Spinta = High,Costruttore = Low,Costruttore = Average,Costruttore = High,Interventista = Low,Interventista = Average,Interventista = High,Lanci_Lunghi = Low,Lanci_Lunghi = Average,Lanci_Lunghi = High,Falloso = Low,Falloso = Average,Falloso = High
Felix Agu,23,de GER,"DF,MF",Werder Bremen,True,17.9,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False
Waldemar Anton,27,de GER,DF,Stuttgart,True,32.1,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
Matthias Bader,26,de GER,"DF,MF",Darmstadt 98,True,20.0,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
Ridle Baku,25,de GER,"DF,MF",Wolfsburg,True,22.4,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Bernardo,28,br BRA,DF,Bochum,True,32.5,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Sebastiaan Bornauw,24,be BEL,DF,Wolfsburg,True,15.9,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
John Brooks,30,us USA,DF,Hoffenheim,True,17.1,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Marius Bülter,30,de GER,"DF,FW",Hoffenheim,True,15.0,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Aurélio Buta,26,pt POR,"DF,MF",Eint Frankfurt,True,19.4,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Anthony Caci,26,fr FRA,DF,Mainz 05,True,27.6,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Rasmus Carstensen,22,dk DEN,"DF,FW",Köln,True,18.4,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False
Julian Chabot,25,de GER,DF,Köln,True,30.0,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
Alphonso Davies,22,ca CAN,DF,Bayern Munich,True,22.9,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
Olivier Deman,23,be BEL,DF,Werder Bremen,True,15.2,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Sepp van den Berg,21,nl NED,DF,Mainz 05,True,31.5,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
