"player","age","nationality","position","team","top5","minutes_90s","Spinta","Costruttore","Interventista","Lanci_Lunghi","Falloso"
"Felix Agu",23,"de GER","DF,MF","Werder Bremen","True",17.9,0.91249363363024,-1.28461833805081,0.761896569239435,-1.14896007707719,-0.738487560047882
"Waldemar Anton",27,"de GER","DF","Stuttgart","True",32.1,-0.86591809912482,1.28560608943321,-0.367122992889134,0.382987490333039,0.0350716586027987
"Matthias Bader",26,"de GER","DF,MF","Darmstadt 98","True",20,0.817771095271069,-0.349619225293205,2.0459162364579,0.375371729997105,-0.687415016319541
"Ridle Baku",25,"de GER","DF,MF","Wolfsburg","True",22.4,1.29838410068589,-0.0256534394538153,0.301620961351762,-0.385509973591543,-0.618275540292535
"Bernardo",28,"br BRA","DF","Bochum","True",32.5,-0.126598004663816,-0.440889435409256,0.79663550447562,0.502942064500363,1.44155433031174
"Sebastiaan Bornauw",24,"be BEL","DF","Wolfsburg","True",15.9,-1.00653313498378,-1.04571372163142,-0.46462482474251,-1.34395207106549,1.77659360198901
"John Brooks",30,"us USA","DF","Hoffenheim","True",17.1,-1.05144916748295,-0.201247790037903,0.298972384156906,0.36554925383789,0.624878119019199
"Marius Bülter",30,"de GER","DF,FW","Hoffenheim","True",15,1.68811456280158,0.0715283357284814,-0.484454820233558,0.381765878746956,-1.32434339146903
"Aurélio Buta",26,"pt POR","DF,MF","Eint Frankfurt","True",19.4,1.08367681937516,-0.000707985419172486,0.239124633782137,-0.789679620066839,-0.312948720058073
"Anthony Caci",26,"fr FRA","DF","Mainz 05","True",27.6,0.479055508535901,0.650534670644812,-0.0826227456837859,1.64844676198327,0.175116483696412
"Rasmus Carstensen",22,"dk DEN","DF,FW","Köln","True",18.4,1.12567720543622,-0.690401187005669,1.76739720971051,-0.938469013399093,-0.370292237201388
"Julian Chabot",25,"de GER","DF","Köln","True",30,-0.815193205579706,-0.712617512188541,0.57187777930131,0.168876829222819,0.580735675716946
"Alphonso Davies",22,"ca CAN","DF","Bayern Munich","True",22.9,1.77298205133921,1.02372160622348,0.619603021732309,-1.48372195719164,-1.78882919052277
"Olivier Deman",23,"be BEL","DF","Werder Bremen","True",15.2,0.772238760360527,-0.421664374124881,1.02708358682349,-0.0377145983842798,0.927204982147334
"Sepp van den Berg",21,"nl NED","DF","Mainz 05","True",31.5,-0.871042435632569,-0.969663154612849,-0.994659897343783,-0.625907708142737,0.526202291646229
"Ritsu Doan",25,"jp JPN","DF,MF","Freiburg","True",25,1.3586697728266,-0.806736108690864,-0.52903439398554,-0.653196977768005,-0.872865524572952
"Danilho Doekhi",25,"nl NED","DF","Union Berlin","True",24,-0.737099456229578,-0.782095614235052,-0.946152486664449,-0.25530078446673,-0.525407325635963
"Nico Elvedi",26,"ch SUI","DF","Gladbach","True",27.6,-0.7825416536367,-0.501282093545752,-0.970698251987373,-1.13962688444173,-0.555139568137217
"Ohis Felix Uduokhai",25,"de GER","DF","Augsburg","True",32.5,-0.907975504303786,-0.740277769145655,-1.09894866624719,-0.0487635402602279,0.234523804681645
"Edimilson Fernandes",27,"ch SUI","DF","Mainz 05","True",14.3,-0.658445098916444,0.333035248719149,0.144659885601855,1.95513150934103,-0.17264281335536
"Max Finkgräfe",19,"de GER","DF,FW","Köln","True",19.5,0.781514843448965,-0.601307062855307,2.89332501739126,0.191477952245576,-0.375964587626589
"Jonas Föhrenbach",27,"de GER","DF","Heidenheim","True",31,0.153806470556122,-0.272717431593611,-0.717882880925989,1.07078129813219,-1.24571209944532
"Marco Friedl",25,"at AUT","DF","Werder Bremen","True",24.4,-1.07701014017334,-1.04583441595826,0.644007932634031,-0.158698008786087,1.17748599907159
"Marvin Friedrich",27,"de GER","DF","Gladbach","True",17.4,-0.866642929183333,-0.768525828423598,-0.583699824340165,-0.641600947139039,-0.556283330214186
"Jeremie Frimpong",22,"nl NED","DF","Leverkusen","True",25,3.21249698725705,-0.650130526735092,-1.75163856634172,-2.21969323856222,-2.11586210977932
"Cristian Gamboa",33,"cr CRC","DF","Bochum","True",13.2,-0.0627142451994754,-0.691643435980123,1.13434079354863,0.406748917195648,0.249149783727599
"Benedikt Gimber",26,"de GER","DF","Heidenheim","True",22.5,-0.996760015788204,-1.68163770154476,0.021749436157431,-0.467023147428194,2.17987888647343
"Matthias Ginter",29,"de GER","DF","Freiburg","True",21.3,-0.622781880062974,0.660162379768753,-0.328875021665791,0.430695634766447,-0.967135848917923
"Klaus Gjasula",33,"al ALB","DF,MF","Darmstadt 98","True",15.1,-0.664789836437916,0.263464135728898,0.669003797121615,0.819633068330021,1.44817629640453
"Robin Gosens",29,"de GER","DF,MF","Union Berlin","True",25.4,0.861599393510272,0.207720872572074,0.0414354903818555,-0.0228832156862606,-0.0426471424712896
"Jeffrey Gouweleeuw",32,"nl NED","DF","Augsburg","True",28.8,-0.662098188888638,0.679577565029449,-0.985350654340922,2.1821538484522,0.0667197604906742
"Florian Grillitsch",27,"at AUT","DF,MF","Hoffenheim","True",25.5,-0.273033642074103,1.49231632723447,0.712307079508149,1.1229338871957,0.434848699690066
"Álex Grimaldo",27,"es ESP","DF","Leverkusen","True",30.9,1.87701016478687,0.998171416019938,-0.178749671591937,-0.470972994585939,-2.30957100457599
"Raphaël Guerreiro",29,"pt POR","DF,MF","Bayern Munich","True",13.2,1.48794117520619,1.84652352877815,-0.996529399103571,-0.32258448095074,-2.44232779027346
"Manuel Gulde",32,"de GER","DF","Freiburg","True",22.7,-0.734783632388245,-1.0671192355969,-0.763552249402259,-0.587909352693422,-0.0921456127800517
"Benjamin Henrichs",26,"de GER","DF","RB Leipzig","True",28.1,1.06539183424762,1.02430986315501,0.433381691578509,0.246942927303123,-0.688752801084231
"Piero Hincapié",21,"ec ECU","DF","Leverkusen","True",16.5,-0.101639240837174,1.4874158253022,-0.802900097678925,-0.346314946091567,-0.326238682844365
"Franck Honorat",26,"fr FRA","DF,FW","Gladbach","True",26.1,2.15152025675922,0.379219193193191,-1.6062067931663,0.67391992185023,-2.74146517317029
"Timo Hübers",27,"de GER","DF","Köln","True",30.9,-1.06052868352028,-0.0801560177717538,1.47186419033425,0.148666027597102,1.45855078889341
"Mats Hummels",34,"de GER","DF","Dortmund","True",17.6,-1.20439967892074,1.4833723012527,2.09344791142652,1.37658307562056,0.0977542877353471
"Iago",26,"br BRA","DF","Augsburg","True",18,0.579145807141425,0.0364083064472048,0.19075396501631,0.533674913713731,-0.70224809589346
"Ko Itakura",26,"jp JPN","DF,MF","Gladbach","True",17.7,-0.784825228845972,-0.711244810433123,-0.109190784088682,-0.789365430937801,1.73317417915792
"Hiroki Ito",24,"jp JPN","DF","Stuttgart","True",24.8,-0.431583777147368,1.32650026207053,-0.828356486989083,0.158436533457267,-0.684495656864992
"Moritz Jenz",24,"de GER","DF","Wolfsburg","True",19.4,-1.14254795472204,-0.376955376718467,-0.583400789039124,-0.847078226127664,1.29560081374742
"Anthony Jung",31,"de GER","DF","Werder Bremen","True",28.7,-0.601083364929622,-0.26342562648847,-0.627077004809495,-0.261522724259873,-0.712609938690666
"Josip Juranović",27,"hr CRO","DF","Union Berlin","True",14.4,0.183997581484464,0.124712683392516,-0.321249805593306,1.74274208530614,-1.4484650717827
"Ozan Kabak",23,"tr TUR","DF","Hoffenheim","True",25.4,-0.765705291231142,-0.199809125727489,-0.328122185716859,-0.106229168334597,1.07712973549902
"Pavel Kadeřábek",31,"cz CZE","DF,FW","Hoffenheim","True",26.8,0.872015944094302,-0.197953671300951,-0.464218405982511,0.11064726630743,-1.1517676041748
"Emir Karic",26,"at AUT","DF","Darmstadt 98","True",19.8,1.0186034054617,1.08379402325559,-0.113918759378492,0.58735287457569,-1.03398745389444
"Christoph Klarer",23,"at AUT","DF","Darmstadt 98","True",26.2,-0.772862725801259,-0.871597660500683,-0.309375739502182,-0.344344968525022,0.665053127295387
"Lukas Klostermann",27,"de GER","DF","RB Leipzig","True",16,-0.820217817321192,0.932665356074119,-1.06651546812853,-0.0494191058757913,-0.403189372025894
"Robin Knoche",31,"de GER","DF","Union Berlin","True",21.3,-0.958662620359174,-0.430157377374265,-0.17465332633363,0.365846271990141,-0.743904733048
"Robin Koch",27,"de GER","DF","Eint Frankfurt","True",30.4,-1.14251970003501,-0.25795053875106,-0.890044219886584,-0.0690851813454457,0.0889497480409795
"Dominik Kohr",29,"de GER","DF,MF","Mainz 05","True",24.3,-0.18700862800394,-0.503857608760732,1.0554859274559,0.411641554977656,2.3586010810007
"Odilon Kossonou",22,"ci CIV","DF","Leverkusen","True",20.1,0.0140899722572178,1.52534896218532,-0.515748851178744,-0.0358589590781782,-0.481256253560639
"Lukas Kübler",30,"de GER","DF","Freiburg","True",20.5,-0.41407023662136,-0.623411223676143,0.667882938848561,-0.107936044927613,0.347588628838322
"Maxence Lacroix",23,"fr FRA","DF","Wolfsburg","True",26.2,-0.909341272064045,0.119083062751409,0.0251412167539665,0.307987000293436,0.458472052296983
"Konrad Laimer",26,"at AUT","DF,MF","Bayern Munich","True",19.7,1.30040327477193,1.64294784377667,1.18487540007617,-0.389597383196959,-0.162396862562292
"Diogo Leite",24,"pt POR","DF","Union Berlin","True",30,-0.680478261426301,-0.174198412434185,0.165735058010546,0.228743840112535,1.01653353337234
"Matthijs de Ligt",23,"nl NED","DF","Bayern Munich","True",15.4,-1.00753337823235,1.27013927310237,-1.17967307111483,0.509113393642097,0.0721273247687376
"Castello Lukeba",20,"fr FRA","DF","RB Leipzig","True",24.3,-0.965865802532175,0.834033924051897,-1.46889663620218,-0.199663778967161,-0.966882510829456
"Matej Maglica",24,"hr CRO","DF","Darmstadt 98","True",18.9,-0.747434480650583,-0.249455109939316,0.476489009071702,1.1261859917036,1.5924506674129
"Patrick Mainka",28,"de GER","DF","Heidenheim","True",34,-0.912184577917317,-0.454283205784363,0.915119511687809,-0.105894552717671,-0.230948782685796
"Jordy Makengo",21,"fr FRA","DF","Freiburg","True",11.4,0.610420965058531,-0.391427760989391,-1.15363799509179,-1.00500654545768,-0.17624583914335
"Erhan Mašović",24,"rs SRB","DF,MF","Bochum","True",24.7,-0.504371666672834,-1.5677277696063,1.69159095183041,-0.736934163263888,0.187441821144836
"Philipp Max",29,"de GER","DF","Eint Frankfurt","True",15,0.42595861527251,0.603584135935084,0.00345196036001809,-0.192616535695976,-1.46926958376285
"Kevin Mbabu",28,"ch SUI","DF","Augsburg","True",22.7,1.33985524477133,-0.298489122836386,-0.0195219831724803,0.888871094680067,1.04580222903071
"Kim Min-jae",26,"kr KOR","DF","Bayern Munich","True",21.9,-1.01564444821714,1.56777665908912,-0.580627886931652,0.815443839474826,0.150437216017409
"Maximilian Mittelstädt",26,"de GER","DF","Stuttgart","True",23.4,1.13789459650461,1.29950019403485,2.86976827920198,-0.347574210349184,-0.122495693336332
"Phillipp Mwene",29,"at AUT","DF","Mainz 05","True",22.2,0.938773554039125,-0.327562909436425,-0.392060550039306,0.214844267093259,0.311257415443719
"Joakim Mæhle",26,"dk DEN","DF,MF","Wolfsburg","True",27.2,1.05957044736069,0.478510063833432,0.783950507275338,-0.72602091257475,-1.19523127650967
"Luca Netz",20,"de GER","DF","Gladbach","True",24.7,0.875525117279367,-0.157927478768154,-0.046567422798917,-0.826015240267737,-0.62416657834825
"Niels Nkounkou",22,"fr FRA","DF,MF","Eint Frankfurt","True",14.5,1.16914763161506,0.503680194679081,3.68514069375225,0.743831608460369,0.858109381847418
"Fabian Nürnberger",24,"de GER","DF,MF","Darmstadt 98","True",16.8,1.05576070734718,0.674176381700231,0.8442445223322,0.108181104133462,-0.592598464468858
"Ivan Ordets",31,"ua UKR","DF","Bochum","True",20.9,-0.828400134383447,-1.86293420840565,-1.05928233329947,-0.611948783732722,1.16156557170861
"Willian Pacho",21,"ec ECU","DF","Eint Frankfurt","True",33,-0.873155794908029,0.397413904158695,0.112275335925823,0.427727472776994,-0.132327525019769
"Mads Pedersen",26,"dk DEN","DF","Augsburg","True",19.8,0.725496488223233,-0.526786918764956,0.755593036404185,-0.330978676054368,0.918348265971177
"David Raum",25,"de GER","DF","RB Leipzig","True",30.4,1.29011085090666,0.942338304793495,0.165149197264421,1.0483143442889,-0.954787719711543
"Anthony Rouault",22,"fr FRA","DF","Stuttgart","True",11.2,-0.427837452772357,1.87046527889536,0.363290241002698,0.683160620285979,-0.37884151536756
"Julian Ryerson",25,"no NOR","DF","Dortmund","True",19.6,0.770257280971782,-0.449333984073862,0.884178262407242,-1.68599297891358,-0.641005346336142
"Joe Scally",20,"us USA","DF","Gladbach","True",24.8,0.322381582926,-0.472936820324303,-0.127768701100159,-1.01141392662689,-0.82908779794651
"Keven Schlotterbeck",26,"de GER","DF","Bochum","True",24.3,-0.629870449557819,-1.03199084635305,-0.449769740008931,-0.112506931035634,1.46641630264704
"Nico Schlotterbeck",23,"de GER","DF","Dortmund","True",31.8,-0.722044096179325,1.58996027833454,0.689468538482915,1.93884910482085,-0.516150331534907
"Benno Schmitz",28,"de GER","DF","Köln","True",12.8,0.84309444218375,0.327436541245465,1.23974162838352,0.389190333849091,-0.999168964288315
"Kiliann Sildillia",21,"fr FRA","DF","Freiburg","True",20.1,0.209439736132474,-0.114900132296719,0.582384069341108,0.579815710420441,0.466665984542559
"Mohamed Simakan",23,"fr FRA","DF","RB Leipzig","True",23.8,0.0169169942177837,0.443760472970104,0.288874098758631,0.160905180416904,0.90694574816176
"Robert Skov",27,"dk DEN","DF,FW","Hoffenheim","True",14,1.53126348266212,0.317897479482439,0.983736313411709,0.622685922524189,-0.827451162227782
"Josip Stanišić",23,"hr CRO","DF","Leverkusen","True",14,0.706676300550319,1.44536517201649,0.873213401743006,-0.0911671108671723,-1.71915744084368
"Pascal Stenzel",27,"de GER","DF","Stuttgart","True",11.8,1.12200918211937,2.03714408927831,0.983896244649506,1.65509119813896,-0.0831998227180128
"Niklas Süle",27,"de GER","DF","Dortmund","True",16.8,-0.916600437468375,1.17350148347058,-0.849223638214667,1.03263945503122,-0.718838541293437
"Jonathan Tah",27,"de GER","DF","Leverkusen","True",29.2,-1.19679138439641,1.2330518631524,-1.39241372418925,-0.562090594719753,0.627471744504736
"Edmond Tapsoba",24,"bf BFA","DF","Leverkusen","True",23.2,-0.646676663064983,2.69289743623144,-0.732205107519167,1.21799128563598,0.18731956891109
"Omar Traoré",25,"de GER","DF","Heidenheim","True",27.5,0.746980439378645,-0.506182548994105,0.445718193595956,0.0446174150593862,-0.193131403082901
"Christopher Trimmel",36,"at AUT","DF","Union Berlin","True",18.3,0.522135330020233,0.376211089771812,0.0624149193550368,1.84695587172022,-1.09275963478183
"Tuta",24,"br BRA","DF","Eint Frankfurt","True",28.9,-0.377752902128901,0.247876089740021,0.608953092773816,-0.0393782282281726,0.0559255080702289
"Dayot Upamecano",24,"fr FRA","DF","Bayern Munich","True",19.6,-0.894828242184722,2.22218871407473,-0.0687645211052877,1.39043003720378,0.427636625609735
"Miloš Veljković",27,"rs SRB","DF","Werder Bremen","True",21.3,-0.717973336038303,0.327058822115771,-0.186909217069812,1.75818614255237,-0.91507308972264
"Mitchell Weiser",29,"de GER","DF,MF","Werder Bremen","True",29.3,1.65306146576966,0.219008020740521,-0.0232441028142181,-0.136196052739621,-0.967740354871034
"Silvan Widmer",30,"ch SUI","DF","Mainz 05","True",13.8,0.872064862754503,-0.0503365224838074,0.3368106455495,-0.0732543777525405,-1.01996995846017
"Maximilian Wittek",27,"de GER","DF,FW","Bochum","True",11.9,1.010588957756,-0.235111876870665,0.000485907574520525,1.20315664648817,0.861997746511974
"Maximilian Wöber",25,"at AUT","DF","Gladbach","True",23,-0.466928842226169,0.378256619366323,1.06844092216319,0.469596244120585,0.496825293944345
"Marius Wolf",28,"de GER","DF","Dortmund","True",13,1.38115602749656,1.01394759894105,-0.0715747666015422,0.54708359438204,-1.17229869672088
"Cedric Zesiger",25,"ch SUI","DF","Wolfsburg","True",18.2,-0.835063286195106,0.204042442545721,-0.528515494987457,-0.0298873735073713,0.922417522587028
"Abner",23,"br BRA","DF","Betis","True",15.6,0.192245990645751,-0.401375292060412,0.657648082830367,-1.13003417234089,-0.242949201253933
"Abdel Abqar",24,"ma MAR","DF","Alavés","True",25.7,-0.743031839722989,-1.56413602252311,-0.311215863545892,1.27349068735711,1.15577466802053
"Marcos Acuña",31,"ar ARG","DF","Sevilla","True",14.4,0.569863327276044,0.885770860207794,-0.918210179896441,1.75791720848026,0.189047625374621
"Raúl Albiol",37,"es ESP","DF","Villarreal","True",22.6,-1.23184750698077,-0.673289670452596,-0.495864365171493,0.169452786385301,0.465453669303737
"Omar Alderete",26,"py PAR","DF","Getafe","True",24.4,-0.627642841007719,0.176949159457708,-0.248760468433322,3.8539897506496,0.990293085008591
"Gastón Álvarez",23,"uy URU","DF","Getafe","True",28.2,-0.281679313993999,-1.29679360727266,0.592047022543866,0.192057182578774,1.09754704709079
"Julian Araujo",21,"mx MEX","DF","Las Palmas","True",16.2,0.578709777141236,-0.01080643223489,0.472434860052898,-0.620458184708433,-0.757383526930134
"Ronald Araújo",24,"uy URU","DF","Barcelona","True",22.2,-1.03376978939585,1.09929384814268,-1.07646643263609,0.942972956689606,0.623848500446105
"Jesús Areso",24,"es ESP","DF","Osasuna","True",29.6,1.50640948264623,-0.0356334264546917,-0.76398924276087,-0.206636760277999,-1.06625552304651
"César Azpilicueta",33,"es ESP","DF","Atlético Madrid","True",15.8,0.252938623387534,0.999987928061632,-0.64756431365984,-0.0394510361448732,1.1862488340225
"Loïc Bade",23,"fr FRA","DF","Sevilla","True",25.3,-0.90718190663505,-0.238513213056702,0.606806068044988,0.407864109010962,0.382107586674307
"Iván Balliu",31,"al ALB","DF","Rayo Vallecano","True",31.9,0.397751998538104,-0.333457277757271,-0.666638283545856,-0.121944878397583,0.145472909618387
"Héctor Bellerín",28,"es ESP","DF","Betis","True",19,0.67963165873379,-0.0108764874405508,1.35811830190189,-0.538008804686858,-0.456901682092414
"Yuri Berchiche",33,"es ESP","DF","Athletic Club","True",21.4,0.482935003088876,0.885821080199145,-0.256725577904217,-0.172928240480923,0.351434408419254
"Daley Blind",33,"nl NED","DF","Girona","True",33,-0.544522384320917,1.99389906031822,-0.257335791011701,1.02687799039606,-0.693040488537734
"Juan Brandáriz",24,"es ESP","DF","Almería","True",27,-0.677042339040919,-1.11308021480089,-0.873916136631697,-0.970719425213509,-0.142193703814739
"João Cancelo",29,"pt POR","DF","Barcelona","True",27.8,1.67926353364909,1.02391611895026,0.358542891285467,0.131511279881357,-0.137734162667935
"Isaac Carcelen",30,"es ESP","DF","Cádiz","True",29,0.194706560954892,-0.886706352155782,-0.199979826704713,-0.34984313836078,-1.01822935621487
"Sergi Cardona",24,"es ESP","DF","Las Palmas","True",31.3,1.08550518765227,0.947203184764808,1.81707733367003,-0.407350351686822,0.918374335794056
"Carmona",21,"es ESP","DF,MF","Getafe","True",14.6,0.847343624707992,-0.905171209758338,0.257422987000385,-0.570518324379924,2.00964041761499
"Dani Carvajal",31,"es ESP","DF","Real Madrid","True",24.1,0.971397811716165,-0.30285324587233,-0.0285197503587695,-1.50361427907774,-0.675436881860045
