player,age,nationality,position,team,top5,minutes_90s,Fantasista = Low,Fantasista = Average,Fantasista = High,Sacrificio = Low,Sacrificio = Average,Sacrificio = High,Prendi_Falli = Low,Prendi_Falli = Average,Prendi_Falli = High,Bomber = Low,Bomber = Average,Bomber = High,Torre = Low,Torre = Average,Torre = High
Karim Adeyemi,21,de GER,"FW,MF",Dortmund,True,10.1,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
Ludovic Ajorque,29,fr FRA,FW,Mainz 05,True,15.1,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
Faride Alidou,22,de GER,"FW,MF",Köln,True,14.2,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
Christopher Antwi-Adjei,29,gh GHA,"FW,MF",Bochum,True,13.5,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Takuma Asano,28,jp JPN,"FW,MF",Bochum,True,22.1,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
Maximilian Beier,20,de GER,"FW,MF",Hoffenheim,True,26.9,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False
Jan-Niklas Beste,24,de GER,"FW,MF",Heidenheim,True,28.9,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
Victor Boniface,22,ng NGA,FW,Leverkusen,True,17.2,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Moritz Broschinski,22,de GER,FW,Bochum,True,13.9,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
Jonathan Burkardt,23,de GER,"FW,MF",Mainz 05,True,17.1,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
Jamie Bynoe-Gittens,18,eng ENG,"FW,MF",Dortmund,True,11.8,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
Václav Černý,25,cz CZE,"FW,MF",Wolfsburg,True,10.2,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
Tomáš Čvančara,22,cz CZE,FW,Gladbach,True,10.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
Ermedin Demirović,25,ba BIH,"FW,MF",Augsburg,True,31.9,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Eren Dinkçi,21,de GER,"FW,MF",Heidenheim,True,29.4,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Marvin Ducksch,29,de GER,FW,Werder Bremen,True,30.0,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Chris Führich,25,de GER,"FW,MF",Stuttgart,True,28.5,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
