"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Karim Adeyemi",21,"de GER","FW,MF","Dortmund","True",10.1,-0.403028843694114,1.34029336879192,2.23441048090213,-0.179930435781535,-0.0738285329980143
"Ludovic Ajorque",29,"fr FRA","FW","Mainz 05","True",15.1,-0.233416644234274,-0.403038489798097,0.541320207370564,-0.727712914708232,1.83874766056414
"Faride Alidou",22,"de GER","FW,MF","Köln","True",14.2,-0.675626921228794,0.471011653781375,0.799890607715641,-0.511267489190993,0.0728934310990785
"Christopher Antwi-Adjei",29,"gh GHA","FW,MF","Bochum","True",13.5,0.73430396504214,0.450180559712094,0.00927801532227402,-0.985883598084559,-0.569184532025934
"Takuma Asano",28,"jp JPN","FW,MF","Bochum","True",22.1,-0.455233926308994,-0.201992346239176,0.180116641822944,-0.705371093754158,-0.0966391294907463
"Maximilian Beier",20,"de GER","FW,MF","Hoffenheim","True",26.9,-0.313989288146893,-0.765624343973174,0.924427577315917,1.35987546496303,-0.18518842370873
"Jan-Niklas Beste",24,"de GER","FW,MF","Heidenheim","True",28.9,0.147420933602578,1.09936316308562,0.78272759730118,0.929695117414088,-1.06596027786843
"Victor Boniface",22,"ng NGA","FW","Leverkusen","True",17.2,-0.0678532279101038,-1.3059119713727,-0.389292596780402,0.553456723579491,0.157904125789805
"Moritz Broschinski",22,"de GER","FW","Bochum","True",13.9,-0.574273977816021,-0.547797095594847,-1.30859725150021,-0.725148799438389,0.679277116090098
"Jonathan Burkardt",23,"de GER","FW,MF","Mainz 05","True",17.1,-0.851822463565176,0.12199168627723,1.8329420463535,0.664319864972822,-0.0303232547994893
"Jamie Bynoe-Gittens",18,"eng ENG","FW,MF","Dortmund","True",11.8,0.981347380249303,0.407550226663181,0.800557915589646,-2.06278587484434,-0.743834638925783
"Václav Černý",25,"cz CZE","FW,MF","Wolfsburg","True",10.2,1.2702536700461,1.45497977837317,-1.51089016802155,0.992076765046505,-0.962278430117464
"Tomáš Čvančara",22,"cz CZE","FW","Gladbach","True",10,-1.09811914630853,-1.18303553642996,-1.21965694761835,-0.737403930427949,0.703493049654744
"Ermedin Demirović",25,"ba BIH","FW,MF","Augsburg","True",31.9,-0.511439759428813,-0.303859289154825,-0.232964466703356,0.741372966120214,0.328066485442098
"Eren Dinkçi",21,"de GER","FW,MF","Heidenheim","True",29.4,0.0129344258051417,1.13949306780625,-0.187389271608924,1.3334823216255,-0.953567829304643
"Marvin Ducksch",29,"de GER","FW","Werder Bremen","True",30,0.244173743164739,-0.402852222007898,-0.81124103323069,0.0483402417358431,-0.480494476284759
"Chris Führich",25,"de GER","FW,MF","Stuttgart","True",28.5,1.87548184037047,0.730778348593261,-1.07320894834596,0.392787837385164,-1.08808176022301
"Michael Gregoritsch",29,"at AUT","FW","Freiburg","True",18.7,-0.620470299687828,-0.238877867934853,-0.108600876625162,-0.707153959086234,1.43401569013756
"Serhou Guirassy",27,"gn GUI","FW","Stuttgart","True",24.5,1.19022257554105,-1.19422908906257,-0.207822268237816,2.94465604750775,0.190713306429543
