player,age,nationality,position,team,top5,minutes_90s,Tradizionale = Low,Tradizionale = Average,Tradizionale = High,Sweeper_Keeper = Low,Sweeper_Keeper = Average,Sweeper_Keeper = High,Miracolo = Low,Miracolo = Average,Miracolo = High,Sotto_Pressione = Low,Sotto_Pressione = Average,Sotto_Pressione = High,Lancio_del_Peso = Low,Lancio_del_Peso = Average,Lancio_del_Peso = High
Noah Atubolu,21,de GER,GK,Freiburg,True,34.0,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
Oliver Baumann,33,de GER,GK,Hoffenheim,True,34.0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
Janis Blaswich,32,de GER,GK,RB Leipzig,True,21.0,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
Koen Casteels,31,be BEL,GK,Wolfsburg,True,25.0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Finn Dahmen,25,de GER,GK,Augsburg,True,31.0,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Péter Gulácsi,33,hu HUN,GK,RB Leipzig,True,13.0,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
Lukáš Hrádecký,33,fi FIN,GK,Leverkusen,True,33.0,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False
Gregor Kobel,25,ch SUI,GK,Dortmund,True,26.3,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
Kevin Müller,32,de GER,GK,Heidenheim,True,34.0,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
Manuel Neuer,37,de GER,GK,Bayern Munich,True,22.8,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
Moritz Nicolas,25,de GER,GK,Gladbach,True,27.0,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
Alexander Nübel,26,de GER,GK,Stuttgart,True,30.0,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
Manuel Riemann,34,de GER,GK,Bochum,True,33.0,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False
Frederik Rønnow,30,dk DEN,GK,Union Berlin,True,33.0,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Marcel Schuhen,30,de GER,GK,Darmstadt 98,True,31.0,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
Marvin Schwäbe,28,de GER,GK,Köln,True,34.0,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
Kevin Trapp,33,de GER,GK,Eint Frankfurt,True,32.0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Sven Ulreich,34,de GER,GK,Bayern Munich,True,11.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
Robin Zentner,28,de GER,GK,Mainz 05,True,30.0,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Michael Zetterer,28,de GER,GK,Werder Bremen,True,27.0,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
Kepa Arrizabalaga,28,es ESP,GK,Real Madrid,True,13.3,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
Augusto Batalla,27,ar ARG,GK,Granada,True,17.0,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
Stole Dimitrievski,29,mk MKD,GK,Rayo Vallecano,True,37.0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Marko Dmitrović,31,rs SRB,GK,Sevilla,True,13.0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
André Ferreira,27,pt POR,GK,Granada,True,14.9,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Paulo Gazzaniga,31,ar ARG,GK,Girona,True,38.0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Vicente Guaita,36,es ESP,GK,Celta Vigo,True,26.7,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True
Sergio Herrera,30,es ESP,GK,Osasuna,True,31.9,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Filip Jørgensen,21,dk DEN,GK,Villarreal,True,36.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Jeremías Ledesma,30,ar ARG,GK,Cádiz,True,33.9,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Andriy Lunin,24,ua UKR,GK,Real Madrid,True,21.0,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
Giorgi Mamardashvili,22,ge GEO,GK,Valencia,True,36.5,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False
Luís Maximiano,24,pt POR,GK,Almería,True,33.0,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
Ørjan Nyland,32,no NOR,GK,Sevilla,True,24.0,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
Jan Oblak,30,si SVN,GK,Atlético Madrid,True,38.0,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Iñaki Peña,24,es ESP,GK,Barcelona,True,10.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Predrag Rajković,27,rs SRB,GK,Mallorca,True,36.0,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Álex Remiro,28,es ESP,GK,Real Sociedad,True,36.4,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
Rui Silva,29,pt POR,GK,Betis,True,27.5,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Unai Simón,26,es ESP,GK,Athletic Club,True,35.4,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
Antonio Sivera,26,es ESP,GK,Alavés,True,34.0,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
David Soria,30,es ESP,GK,Getafe,True,37.9,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Marc-André ter Stegen,31,de GER,GK,Barcelona,True,28.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
Álvaro Vallés,26,es ESP,GK,Las Palmas,True,36.3,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True
Iván Villar,26,es ESP,GK,Celta Vigo,True,11.3,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
