"player","age","nationality","position","team","top5","minutes_90s","Tradizionale","Sweeper_Keeper","Miracolo","Sotto_Pressione","Lancio_del_Peso"
"Noah Atubolu",21,"de GER","GK","Freiburg","True",34,0.224195643343979,0.599553296478771,-0.995754281359194,0.709453419404901,-0.0163025507640508
"Oliver Baumann",33,"de GER","GK","Hoffenheim","True",34,0.260356625073952,0.688289032837206,0.646619012591649,0.954597686287661,0.984180054265914
"Janis Blaswich",32,"de GER","GK","RB Leipzig","True",21,-0.792531774873209,1.41920273844868,-1.14531874939603,0.21292472604856,-0.223421588347203
"Koen Casteels",31,"be BEL","GK","Wolfsburg","True",25,0.239909058621458,0.272561347720018,-0.0849544566421837,0.191672181375706,-0.0406384607423745
"Finn Dahmen",25,"de GER","GK","Augsburg","True",31,0.4243667574649,1.12969937521858,-0.06825170973245,0.820932081866007,-1.16842851958211
"Péter Gulácsi",33,"hu HUN","GK","RB Leipzig","True",13,-0.831843647742135,-0.168467243052923,0.965156047880642,-1.42049254752218,0.778808678111189
"Lukáš Hrádecký",33,"fi FIN","GK","Leverkusen","True",33,-0.917406952661725,-1.08386732954118,0.660081875308287,-1.44914635851818,-0.106747574410946
"Gregor Kobel",25,"ch SUI","GK","Dortmund","True",26.3,-0.501214316927625,1.27188800842856,0.771562909495173,-0.215654666538028,0.436510315823284
"Kevin Müller",32,"de GER","GK","Heidenheim","True",34,0.757546295713318,0.645174108474612,0.316768578868032,0.655796842956486,0.406562576436363
"Manuel Neuer",37,"de GER","GK","Bayern Munich","True",22.8,-1.262024994342,0.691232068591426,-0.784768053479452,-0.210863371437532,0.616224865970814
"Moritz Nicolas",25,"de GER","GK","Gladbach","True",27,-0.430075036696016,0.493885668015814,-0.643724640475142,1.16413185965084,1.08880483973465
"Alexander Nübel",26,"de GER","GK","Stuttgart","True",30,-0.84684953104266,1.09565808741773,-0.29098662359905,-0.427758892171328,-0.635275071528052
"Manuel Riemann",34,"de GER","GK","Bochum","True",33,1.34896987428515,2.38600952468096,-1.08176835921181,1.84610322538979,-1.62679769620372
"Frederik Rønnow",30,"dk DEN","GK","Union Berlin","True",33,0.207769266868712,0.537070057726508,-0.450313035086917,0.655119313131371,-0.00198287960861554
"Marcel Schuhen",30,"de GER","GK","Darmstadt 98","True",31,0.416812789244952,1.36526400165548,-0.913531867674492,1.85678539955103,1.60039024211637
"Marvin Schwäbe",28,"de GER","GK","Köln","True",34,-0.072076991722696,0.622903708191869,0.325551753374095,0.294392124807012,-1.03611996682396
"Kevin Trapp",33,"de GER","GK","Eint Frankfurt","True",32,-0.338763574240114,-0.0115329605565685,0.103261421111229,-0.228717616794995,0.271774741701588
"Sven Ulreich",34,"de GER","GK","Bayern Munich","True",11,-1.53586226136034,0.305366112866292,-0.0193056311736479,-1.37441099284315,0.502610967135787
"Robin Zentner",28,"de GER","GK","Mainz 05","True",30,0.582133920752404,-0.125695899287616,0.428594289655836,-0.329884861414241,-0.755590330729868
"Michael Zetterer",28,"de GER","GK","Werder Bremen","True",27,-0.397742432830258,0.991298066942005,1.00904961955219,-0.345630155164199,0.698739931661317
"Kepa Arrizabalaga",28,"es ESP","GK","Real Madrid","True",13.3,-1.07063335511389,-0.111701088873963,0.912188038996592,-1.89535539678341,0.179955077671631
"Augusto Batalla",27,"ar ARG","GK","Granada","True",17,0.918482699987665,0.535269803881367,-1.6008003303371,1.50396747336752,-0.623318760194923
"Stole Dimitrievski",29,"mk MKD","GK","Rayo Vallecano","True",37,0.602731457911624,-0.699954666656566,0.366918267607805,-0.301220810560844,0.351507466037872
"Marko Dmitrović",31,"rs SRB","GK","Sevilla","True",13,-0.1463648527905,-0.811541686268756,-0.508680915091549,0.406839340698302,0.659052769588507
"André Ferreira",27,"pt POR","GK","Granada","True",14.9,-0.360609585217901,-0.546357998995866,-0.0260239853301806,0.216849954706681,2.25349218923687
"Paulo Gazzaniga",31,"ar ARG","GK","Girona","True",38,-0.0872031313122073,0.0483145861649271,0.75212901590795,-0.310972378678962,-0.0774532955462921
"Vicente Guaita",36,"es ESP","GK","Celta Vigo","True",26.7,0.411387829392625,-1.14950926484246,0.569532681152545,-0.208134360843377,0.879361849148732
"Sergio Herrera",30,"es ESP","GK","Osasuna","True",31.9,1.15630841700396,0.0550517429787489,-0.0904760483560877,0.118722992742212,-1.64049019976531
"Filip Jørgensen",21,"dk DEN","GK","Villarreal","True",36,-0.180526516693918,-0.0441705718044384,-0.250162745745491,1.00048455561553,0.944164126604256
"Jeremías Ledesma",30,"ar ARG","GK","Cádiz","True",33.9,1.97231417330328,-0.497480119076659,-0.0263889309046156,0.48249861474363,-1.75998520297202
"Andriy Lunin",24,"ua UKR","GK","Real Madrid","True",21,-0.865478862851406,-0.530760398227429,1.12837991490145,-1.76239636399142,-0.162503852099679
"Giorgi Mamardashvili",22,"ge GEO","GK","Valencia","True",36.5,1.22317531713456,-0.908817232664578,1.57017217198944,-0.961886588078028,-1.19418736404279
"Luís Maximiano",24,"pt POR","GK","Almería","True",33,0.558281969193946,0.0614697732105573,-0.460778682271668,0.912126508180513,0.352156244902035
"Ørjan Nyland",32,"no NOR","GK","Sevilla","True",24,1.00572597276231,-0.835158625760756,0.931502627895784,-0.422234180122008,-0.0260454817189402
"Jan Oblak",30,"si SVN","GK","Atlético Madrid","True",38,-0.0440869490094377,-1.54313136516919,-0.336640420886461,-0.286545375555338,0.490990864840905
"Iñaki Peña",24,"es ESP","GK","Barcelona","True",10,-1.59518687833164,-0.713609394197763,-1.54680003439091,-0.304792717171815,1.46919241436132
"Predrag Rajković",27,"rs SRB","GK","Mallorca","True",36,1.79676756149825,-0.544566236697901,0.0260787526318228,0.0945231902534827,-1.68257051579214
"Álex Remiro",28,"es ESP","GK","Real Sociedad","True",36.4,-0.11921930681087,0.0533263698858489,0.515508677310093,-0.818111074817307,-1.19289719685452
"Rui Silva",29,"pt POR","GK","Betis","True",27.5,0.291746375033345,-0.240406622174381,0.775723711137161,-0.503437897989782,-0.549334606955528
"Unai Simón",26,"es ESP","GK","Athletic Club","True",35.4,0.762130340502888,-0.302892165536716,1.49821388655707,-1.3077876873718,-0.884448064790285
"Antonio Sivera",26,"es ESP","GK","Alavés","True",34,1.63100235158191,-0.927281234561505,0.434232797323391,-0.334025119959034,-0.95468565912181
"David Soria",30,"es ESP","GK","Getafe","True",37.9,1.75457287729333,-0.59080535347999,0.344053188481372,0.283998867437084,-0.873176687747092
"Marc-André ter Stegen",31,"de GER","GK","Barcelona","True",28,-0.92831848746227,0.206803064237047,0.289199521066372,-1.02380274004637,0.199082277553516
"Álvaro Vallés",26,"es ESP","GK","Las Palmas","True",36.3,-1.27606233334635,2.87107324744988,1.15779692290303,-0.632209511166401,1.28904420034904
"Iván Villar",26,"es ESP","GK","Celta Vigo","True",11.3,0.432462229434072,-1.51721191998838,-0.359338620607731,-0.151074801399978,0.464724662375533
"Alaa Bellaarouch",21,"ma MAR","GK","Strasbourg","True",15,-0.0681566611954092,-0.0251222777987402,-1.73435637308283,0.479850140384552,-1.18421717314821
"Marco Bizot",32,"nl NED","GK","Brest","True",32,0.0877369209450594,-0.192820971070382,0.489182813507654,-0.55886891272563,-0.0652652672388783
"Marcin Bułka",23,"pl POL","GK","Nice","True",34,-1.29074446730989,0.342040409355843,0.54065850432113,-1.50858346854639,-0.332515129569255
"Lucas Chevalier",21,"fr FRA","GK","Lille","True",33,-0.5384272684492,0.37431846398403,1.02767582287626,-1.21375148490729,-0.882875440460417
"Arthur Desmas",29,"fr FRA","GK","Le Havre","True",33,0.735799577823228,-1.18335646905298,1.0369156893652,-0.294417723434438,-0.465658519748959
"Mory Diaw",30,"sn SEN","GK","Clermont Foot","True",30,0.714594030731525,0.897570218307547,0.849165158904635,0.767022024829526,-0.602452832681384
"Yehvann Diouf",23,"fr FRA","GK","Reims","True",34,-0.779921803889166,0.579774222809704,-0.45819317907407,-0.0583789373404618,0.57627327041596
"Gianluigi Donnarumma",24,"it ITA","GK","Paris S-G","True",24.1,-1.04403213263352,-0.448467338572676,2.37863158604157,-1.59120577971265,0.903944911338603
"Philipp Köhn",25,"ch SUI","GK","Monaco","True",22,0.123731360229095,-0.787591886355951,0.311598446953374,-0.230787240627769,-0.363741263004834
"Alban Lafont",24,"fr FRA","GK","Nantes","True",27.7,-0.0572757341210634,0.100032136515339,-0.0366239879765337,-0.21335199228441,0.291864895476544
"Benjamin Lecomte",32,"fr FRA","GK","Montpellier","True",30,0.508589223230373,-0.562848164446759,0.590987729053176,-0.190939967035082,0.2920293392459
"Anthony Lopes",32,"pt POR","GK","Lyon","True",31,-0.0377860776593942,-0.381852431125465,-0.684219198934301,0.65272677234498,0.310978939866377
"Pau López",28,"es ESP","GK","Marseille","True",32.7,-0.509268288978814,0.342679762107254,-0.841829093295298,0.192784456014759,-0.640549205445198
"Radosław Majecki",23,"pl POL","GK","Monaco","True",12,-0.254243397664742,-0.757989969500806,2.63522895082518,-1.8569865369139,1.00769922458203
"Steve Mandanda",38,"fr FRA","GK","Rennes","True",34,-0.0570507043383403,0.0452780806342776,-0.659824865295839,0.432829703785445,-0.598024816037144
"Yvon Mvogo",29,"ch SUI","GK","Lorient","True",34,0.0135104646068872,-0.381608145467921,-0.247380351257396,1.18193292568161,1.15934757675546
"Alexandre Oukidja",35,"dz ALG","GK","Metz","True",33.2,1.85522995443891,-1.26860445334747,-0.639792466390304,1.37969484663453,-0.839239437640648
"Guillaume Restes",18,"fr FRA","GK","Toulouse","True",34,-0.159469703758206,-1.35489374680236,-0.0722640067716833,-0.183795831591989,-0.295423925426727
"Brice Samba",29,"fr FRA","GK","Lens","True",33,-0.173709568388166,-0.128442141798546,1.40344565990162,-1.03299233967047,-0.576097414448717
"Alisson",30,"br BRA","GK","Liverpool","True",28,-1.42903194827766,1.03395384242751,0.0184054231215484,-0.473725560327279,0.539010059393665
"Alphonse Areola",30,"fr FRA","GK","West Ham","True",30,0.76426401265342,-1.23631558252008,0.498865056429557,0.813721038671014,0.698753097720235
"Martin Dúbravka",34,"sk SVK","GK","Newcastle Utd","True",22.1,-0.780457386496415,-1.17948157550881,0.138051188782982,0.316828170094678,2.43294696715235
"Ederson",29,"br BRA","GK","Manchester City","True",30.9,-0.950314673826399,1.00654828478437,0.254343107790246,-1.24547870767124,-1.1401089543568
"Mark Flekken",30,"nl NED","GK","Brentford","True",36.5,0.794039873359857,0.822309166687758,-1.03625030251258,1.13252738905196,-1.09008559704234
"Wes Foderingham",32,"eng ENG","GK","Sheffield Utd","True",29.4,1.73611860022107,-0.462144872549914,-0.56657522956284,2.08745889990513,-0.663051525533714
"Dean Henderson",26,"eng ENG","GK","Crystal Palace","True",18,0.677256025633547,-1.30747990568864,-0.381336927987535,0.233802854266003,-0.601452474152886
"Sam Johnstone",30,"eng ENG","GK","Crystal Palace","True",20,1.17530908428388,-1.07807542529952,-1.50443055209683,0.296115930268221,-1.59279650440642
"Thomas Kaminski",30,"be BEL","GK","Luton Town","True",37.8,1.25275352079204,-0.00412356210967196,-0.468179327731294,1.67917242422673,0.0645419097801814
"Caoimhín Kelleher",24,"ie IRL","GK","Liverpool","True",10,-1.32496654881195,1.74400579670606,0.706478959537231,-0.770129300611097,0.12039449756169
"Bernd Leno",31,"de GER","GK","Fulham","True",38,-0.572207181266988,0.97434154595349,-0.0601829006695293,0.353571156634651,0.394171780903633
"Emiliano Martínez",30,"ar ARG","GK","Aston Villa","True",33.5,-0.433951114528175,1.27075503267128,1.05600716522553,-0.516292550561532,-0.973945043326337
"Arijanet Muric",24,"xk KVX","GK","Burnley","True",10,0.146381037713303,3.83444024369191,3.68948568302116,0.0905595334403698,-0.204452764348607
