player,age,nationality,position,team,top5,minutes_90s,Creativo = Low,Creativo = Average,Creativo = High,Fulcro_di_Gioco = Low,Fulcro_di_Gioco = Average,Fulcro_di_Gioco = High,Lunga_Gittata = Low,Lunga_Gittata = Average,Lunga_Gittata = High,Incontrista = Low,Incontrista = Average,Incontrista = High,Cinico = Low,Cinico = Average,Cinico = High
Brenden Aaronson,22,us USA,"MF,FW",Union Berlin,True,14.1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
Amine Adli,23,ma MAR,"MF,FW",Leverkusen,True,10.0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
Robert Andrich,28,de GER,"MF,DF",Leverkusen,True,18.8,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Maximilian Arnold,29,de GER,MF,Wolfsburg,True,27.8,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
Leandro Barreiro Martins,23,lu LUX,MF,Mainz 05,True,29.0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
Christoph Baumgartner,23,at AUT,"MF,FW",RB Leipzig,True,12.9,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
Ihlas Bebou,29,tg TOG,"FW,DF",Hoffenheim,True,18.2,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True
Adrian Beck,26,de GER,"MF,FW",Heidenheim,True,10.8,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Matúš Bero,27,sk SVK,"MF,FW",Bochum,True,18.5,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
Leonardo Bittencourt,29,de GER,MF,Werder Bremen,True,17.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Julian Brandt,27,de GER,"MF,FW",Dortmund,True,24.7,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Emre Can,29,de GER,"MF,DF",Dortmund,True,21.7,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
Junior Dina Ebimbe,22,fr FRA,"MF,DF",Eint Frankfurt,True,21.7,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
Niklas Dorsch,25,de GER,MF,Augsburg,True,15.4,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Maximilian Eggestein,26,de GER,MF,Freiburg,True,32.4,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Arne Engels,19,be BEL,"MF,DF",Augsburg,True,15.6,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Bartol Franjić,23,hr CRO,MF,Darmstadt 98,True,13.7,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
Yannick Gerhardt,29,de GER,"MF,DF",Wolfsburg,True,18.1,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Leon Goretzka,28,de GER,MF,Bayern Munich,True,24.9,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Mario Götze,31,de GER,MF,Eint Frankfurt,True,23.0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Vincenzo Grifo,30,it ITA,"MF,FW",Freiburg,True,25.8,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
Brajan Gruda,19,de GER,"MF,FW",Mainz 05,True,18.2,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Janik Haberer,29,de GER,"MF,DF",Union Berlin,True,13.6,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
Amadou Haidara,25,ml MLI,MF,RB Leipzig,True,17.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
Nicolas Höfler,33,de GER,MF,Freiburg,True,25.9,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
Jonas Hofmann,31,de GER,MF,Leverkusen,True,24.5,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Fabian Holland,33,de GER,"MF,DF",Darmstadt 98,True,20.4,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Denis Huseinbasic,22,ba BIH,MF,Köln,True,18.1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Lee Jae-sung,30,kr KOR,"MF,FW",Mainz 05,True,23.5,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
Fredrik Jensen,25,fi FIN,"MF,FW",Augsburg,True,14.9,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
Florian Kainz,30,at AUT,"MF,FW",Köln,True,24.4,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
Kevin Kampl,32,si SVN,MF,RB Leipzig,True,15.1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Atakan Karazor,26,de GER,MF,Stuttgart,True,29.1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
Tobias Kempe,34,de GER,MF,Darmstadt 98,True,15.0,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
Rani Khedira,29,de GER,MF,Union Berlin,True,14.9,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
Joshua Kimmich,28,de GER,"MF,DF",Bayern Munich,True,24.2,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
Ansgar Knauff,21,de GER,"MF,DF",Eint Frankfurt,True,23.4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
Manu Koné,22,fr FRA,MF,Gladbach,True,17.3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Alex Král,25,cz CZE,MF,Union Berlin,True,15.2,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
Andrej Kramarić,32,hr CRO,"MF,FW",Hoffenheim,True,24.4,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Tom Krauß,22,de GER,MF,Mainz 05,True,15.0,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False
Aïssa Laïdouni,26,tn TUN,MF,Union Berlin,True,11.9,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Hugo Larsson,19,se SWE,MF,Eint Frankfurt,True,21.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
Dejan Ljubicic,25,at AUT,"MF,FW",Köln,True,22.8,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Anthony Losilla,37,fr FRA,MF,Bochum,True,28.6,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
Senne Lynen,24,be BEL,MF,Werder Bremen,True,20.0,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Arne Maier,24,de GER,MF,Augsburg,True,11.1,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
Lennard Maloney,23,us USA,MF,Heidenheim,True,25.4,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
Eric Martel,21,de GER,MF,Köln,True,27.3,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
Marvin Mehlem,25,de GER,MF,Darmstadt 98,True,16.5,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Enzo Millot,21,fr FRA,"MF,FW",Stuttgart,True,24.9,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
Thomas Müller,33,de GER,"MF,FW",Bayern Munich,True,18.4,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
Jamal Musiala,20,de GER,"MF,FW",Bayern Munich,True,19.5,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
Florian Neuhaus,26,de GER,MF,Gladbach,True,13.6,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
Felix Nmecha,22,de GER,MF,Dortmund,True,11.3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Dani Olmo,25,es ESP,MF,RB Leipzig,True,16.1,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
Patrick Osterhage,23,de GER,MF,Bochum,True,20.7,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Salih Özcan,25,tr TUR,MF,Dortmund,True,13.2,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
Exequiel Palacios,24,ar ARG,MF,Leverkusen,True,20.3,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Marvin Pieringer,23,de GER,"MF,FW",Heidenheim,True,16.8,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
Grischa Prömel,28,de GER,MF,Hoffenheim,True,23.8,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
Rocco Reitz,21,de GER,MF,Gladbach,True,23.7,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Marco Reus,34,de GER,"MF,FW",Dortmund,True,17.8,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
Elvis Rexhbeçaj,25,de GER,MF,Augsburg,True,22.1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
Merlin Röhl,21,de GER,"MF,FW",Freiburg,True,16.4,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Marcel Sabitzer,29,at AUT,MF,Dortmund,True,21.8,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Roland Sallai,26,hu HUN,"MF,FW",Freiburg,True,20.4,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
András Schäfer,24,hu HUN,MF,Union Berlin,True,13.5,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Xaver Schlager,25,at AUT,MF,RB Leipzig,True,27.5,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Romano Schmid,23,at AUT,"MF,FW",Werder Bremen,True,28.9,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
Jan Schöppner,24,de GER,MF,Heidenheim,True,22.2,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
Kevin Sessa,23,de GER,"MF,FW",Heidenheim,True,11.2,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Xavi Simons,20,nl NED,MF,RB Leipzig,True,29.5,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
Tim Skarke,26,de GER,"FW,DF",Darmstadt 98,True,26.7,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Ellyes Skhiri,28,tn TUN,MF,Eint Frankfurt,True,24.1,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Jens Stage,26,dk DEN,MF,Werder Bremen,True,25.9,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Kevin Stöger,29,at AUT,MF,Bochum,True,29.6,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
Mattias Svanberg,24,se SWE,MF,Wolfsburg,True,19.1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Norman Theuerkauf,36,de GER,"MF,DF",Heidenheim,True,14.0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Jan Thielmann,21,de GER,"FW,DF",Köln,True,17.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Umut Tohumcu,18,de GER,MF,Hoffenheim,True,11.2,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Lucas Tousart,26,fr FRA,MF,Union Berlin,True,17.5,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
Ruben Vargas,24,ch SUI,"MF,FW",Augsburg,True,21.8,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Aster Vranckx,20,be BEL,MF,Wolfsburg,True,12.8,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Luca Waldschmidt,27,de GER,"MF,FW",Köln,True,12.7,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
Julian Weigl,27,de GER,MF,Gladbach,True,30.7,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Florian Wirtz,20,de GER,MF,Leverkusen,True,26.4,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Granit Xhaka,30,ch SUI,MF,Leverkusen,True,31.3,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
Ilias Akhomach,19,ma MAR,"MF,FW",Villarreal,True,16.8,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Rubén Alcaraz,32,es ESP,MF,Cádiz,True,34.8,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
