"player","age","nationality","position","team","top5","minutes_90s","Creativo","Fulcro_di_Gioco","Lunga_Gittata","Incontrista","Cinico"
"Brenden Aaronson",22,"us USA","MF,FW","Union Berlin","True",14.1,1.17445942048502,0.484833587789568,-0.225657888771378,0.429112576394198,0.689293321053736
"Amine Adli",23,"ma MAR","MF,FW","Leverkusen","True",10,2.81283472970356,1.45433574769029,-0.200149246958374,-0.654905043480109,1.65050484140512
"Robert Andrich",28,"de GER","MF,DF","Leverkusen","True",18.8,-0.531709675127342,-0.03759090105652,-0.219946906072639,-0.49780851889793,0.561587662076234
"Maximilian Arnold",29,"de GER","MF","Wolfsburg","True",27.8,-0.867079050965815,-0.221957775270852,1.35667312135024,-0.0181159616827971,-0.720407325909273
"Leandro Barreiro Martins",23,"lu LUX","MF","Mainz 05","True",29,-0.537828260011602,-0.827362433211216,-0.712587398906604,0.256584619830485,0.62414190909113
"Christoph Baumgartner",23,"at AUT","MF,FW","RB Leipzig","True",12.9,1.44212442875197,0.293677659538621,-0.648163125305992,0.259715304503737,1.10965886155412
"Ihlas Bebou",29,"tg TOG","FW,DF","Hoffenheim","True",18.2,1.61116417690317,-0.353637461957677,-0.641192121413983,-1.19912732445586,1.13336341589227
"Adrian Beck",26,"de GER","MF,FW","Heidenheim","True",10.8,0.420994297373268,-0.445211463010025,-0.750146468966683,0.330368004704977,0.519123587149938
"Matúš Bero",27,"sk SVK","MF,FW","Bochum","True",18.5,0.0899739162363695,-0.668398737882509,-0.718853533786749,-0.172293796469565,-0.151033019903945
"Leonardo Bittencourt",29,"de GER","MF","Werder Bremen","True",17.5,0.471586807490584,0.130446263701337,-0.119041960030075,0.449696685602098,-0.368157644196574
"Julian Brandt",27,"de GER","MF,FW","Dortmund","True",24.7,1.35712570243002,1.15853769290024,2.50639657636755,-1.50420453602903,1.45095707215778
"Emre Can",29,"de GER","MF,DF","Dortmund","True",21.7,-1.07914882217063,-0.27867872989443,-0.489801999350025,1.02841593614174,-1.48877879500946
"Junior Dina Ebimbe",22,"fr FRA","MF,DF","Eint Frankfurt","True",21.7,1.22401416054706,0.0252194213725349,-0.683562857387302,0.0387128867034499,0.653112610902069
"Niklas Dorsch",25,"de GER","MF","Augsburg","True",15.4,-1.25340835776845,-1.28129518665233,-0.432872865875586,0.475483918209742,-1.40896934966776
"Maximilian Eggestein",26,"de GER","MF","Freiburg","True",32.4,-0.429544624503431,-0.123245162919746,-0.761813061724228,-0.398819135185057,-0.316997899209489
"Arne Engels",19,"be BEL","MF,DF","Augsburg","True",15.6,0.0364958641151174,-0.473912082125267,0.847358712448295,0.0543555654623953,0.641288714985385
"Bartol Franjić",23,"hr CRO","MF","Darmstadt 98","True",13.7,-1.33822267388041,-1.13306201869247,-0.688745587721596,-0.297000678541691,-1.12335502535743
"Yannick Gerhardt",29,"de GER","MF,DF","Wolfsburg","True",18.1,0.0804749169919982,-0.772502747295351,-0.608249498785177,-0.401515017828412,0.78066682334337
"Leon Goretzka",28,"de GER","MF","Bayern Munich","True",24.9,-0.125860165725464,0.988739512760227,-0.577107948794108,0.234038658901389,0.178341508673816
"Mario Götze",31,"de GER","MF","Eint Frankfurt","True",23,0.501740089168716,0.342954132499982,0.229625540093046,0.388742021253333,2.13397817621722
"Vincenzo Grifo",30,"it ITA","MF,FW","Freiburg","True",25.8,0.72621436444613,0.634510315364851,1.66183796103111,-1.00737229783678,0.0583605671145067
"Brajan Gruda",19,"de GER","MF,FW","Mainz 05","True",18.2,2.51636613265,1.31316906369919,0.834911491600209,-0.989290417757468,1.08437225271805
"Janik Haberer",29,"de GER","MF,DF","Union Berlin","True",13.6,-0.334923307523647,-0.687348214874199,-0.524870106331244,1.21947566134997,-0.254760527200033
"Amadou Haidara",25,"ml MLI","MF","RB Leipzig","True",17,-0.846743298403153,0.00222625357770175,-0.650548538893641,0.732683698594872,-0.0708452045246679
"Nicolas Höfler",33,"de GER","MF","Freiburg","True",25.9,-1.26184602969752,-0.930122038811977,-0.97050562909715,0.44813088424245,-0.552274348275296
"Jonas Hofmann",31,"de GER","MF","Leverkusen","True",24.5,2.29355661556821,1.65113375597865,2.18748625085918,-1.53181970064393,0.915996861758242
"Fabian Holland",33,"de GER","MF,DF","Darmstadt 98","True",20.4,-0.785848444452629,-0.725950474389407,0.141507581963634,0.303616237143027,-0.999659349035662
"Denis Huseinbasic",22,"ba BIH","MF","Köln","True",18.1,-0.715102975688965,-0.411343669477005,-0.548911827903721,0.221206307050932,-1.08140671697352
"Lee Jae-sung",30,"kr KOR","MF,FW","Mainz 05","True",23.5,0.601757927863975,-0.32127128090635,-0.610629631304129,-0.640463611704224,1.07647625945589
"Fredrik Jensen",25,"fi FIN","MF,FW","Augsburg","True",14.9,0.930950912525512,0.124881711890075,1.42023564061549,-0.282940207344129,0.768747470233843
