player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Abner,27,br BRA,"DF,MF",RWD Molenbeek,25.0,20.6,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.1,38.0,73.0,89.0,0.0,0.0,0.03,0.02,0.03,16.7,0.29,0.05,0.0,0.0,17.5,0.0,0.1,-0.6,-0.6,651.0,873.0,74.6,10746.0,3762.0,334.0,85.6,393.0,78.6,110.0,36.4,0.5,-0.5,7.0,44.0,9.0,3.0,705.0,165.0,12.0,0.0,3.0,56.0,153.0,0.0,0.0,0.0,3.0,19.0,1.02,16.0,1.0,0.0,2.0,2.0,0.0,23.0,13.0,11.0,7.0,5.0,14.0,24.0,58.3,15.0,25.0,57.0,1.0,1096.0,79.0,327.0,502.0,271.0,11.0,1096.0,31.0,19.4,64.5,693.0,4369.0,2040.0,38.0,2.0,35.0,7.0,605.0,19.0,37.0,1.0,0.0,0.0,1.0,103.0,23.0,21.0,52.3
Tayo Adaramola,19,ie IRL,DF,RWD Molenbeek,9.0,6.4,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,19.0,22.0,25.0,0.0,0.0,0.04,0.09,0.04,0.0,0.47,0.0,0.0,0.0,17.0,0.0,0.09,-0.3,-0.3,182.0,245.0,74.3,2884.0,1196.0,111.0,83.8,100.0,75.0,19.0,42.1,0.3,-0.6,4.0,15.0,7.0,5.0,202.0,43.0,3.0,0.0,1.0,20.0,40.0,0.0,0.0,0.0,0.0,9.0,1.1,6.0,1.0,0.0,0.0,0.0,0.0,21.0,14.0,13.0,8.0,0.0,12.0,17.0,70.6,7.0,7.0,19.0,1.0,347.0,35.0,132.0,143.0,84.0,7.0,347.0,24.0,58.3,41.7,196.0,1628.0,724.0,12.0,5.0,13.0,9.0,159.0,10.0,4.0,1.0,0.0,1.0,0.0,43.0,8.0,7.0,53.3
Brian Agbor,22,cm CMR,DF,Gent,3.0,2.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,1.0,10.0,0.0,0.0,0.0,0.06,0.02,0.06,0.0,0.43,0.0,0.0,0.0,8.0,0.0,0.13,-0.1,-0.1,123.0,143.0,86.0,2616.0,837.0,43.0,86.0,73.0,94.5,25.0,68.0,0.0,0.0,1.0,11.0,0.0,0.0,135.0,8.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,12.0,1.0,173.0,19.0,70.0,101.0,2.0,1.0,173.0,2.0,50.0,50.0,127.0,591.0,291.0,1.0,0.0,3.0,0.0,114.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,100.0
Takahiro Akimoto,25,jp JPN,DF,OH Leuven,5.0,2.9,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,16.0,13.0,0.0,0.0,0.03,0.01,0.03,0.0,0.34,0.0,0.0,0.0,9.7,0.0,0.1,-0.1,-0.1,99.0,129.0,76.7,1469.0,631.0,58.0,91.4,51.0,68.6,10.0,50.0,0.2,0.0,2.0,9.0,3.0,0.0,101.0,28.0,2.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,2.0,2.76,8.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,2.0,4.0,50.0,2.0,6.0,9.0,0.0,165.0,9.0,53.0,75.0,40.0,5.0,165.0,3.0,66.7,33.3,90.0,557.0,249.0,4.0,0.0,7.0,1.0,81.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,5.0,58.3
Toby Alderweireld,34,be BEL,DF,Antwerp,29.0,28.9,3.0,4.0,3.0,2.0,0.0,5.1,2.7,2.8,5.5,12.0,155.0,19.0,0.1,0.14,0.18,0.1,0.09,30.0,1.39,0.42,0.03,0.08,15.0,1.0,0.07,-2.1,-1.7,2010.0,2335.0,86.1,45902.0,15314.0,473.0,86.9,1279.0,94.4,543.0,69.2,1.4,1.2,15.0,177.0,16.0,0.0,2215.0,112.0,82.0,3.0,25.0,7.0,10.0,0.0,0.0,0.0,8.0,9.0,1.21,27.0,2.0,0.0,5.0,1.0,0.0,34.0,19.0,19.0,13.0,2.0,16.0,29.0,55.2,32.0,24.0,112.0,0.0,2621.0,250.0,1053.0,1448.0,135.0,51.0,2618.0,3.0,100.0,0.0,1992.0,9977.0,4640.0,16.0,1.0,18.0,5.0,1936.0,11.0,4.0,1.0,1.0,1.0,1.0,152.0,64.0,51.0,55.7
Ryan Alebiosu,21,eng ENG,"DF,MF",Kortrijk,11.0,3.9,0.0,1.0,0.0,1.0,0.0,0.2,0.2,1.1,1.3,14.0,9.0,27.0,0.0,0.26,0.04,0.29,0.04,0.0,1.29,0.0,0.0,0.0,19.2,0.0,0.03,-0.2,-0.2,107.0,160.0,66.9,1623.0,652.0,68.0,79.4,68.0,63.2,10.0,50.0,0.6,-0.1,4.0,7.0,5.0,3.0,120.0,40.0,1.0,0.0,0.0,23.0,39.0,0.0,0.0,0.0,0.0,7.0,2.84,5.0,3.0,1.0,1.0,1.0,0.0,5.0,2.0,4.0,0.0,1.0,1.0,3.0,33.3,2.0,2.0,10.0,0.0,211.0,12.0,58.0,78.0,77.0,6.0,211.0,16.0,37.5,50.0,119.0,1059.0,496.0,17.0,3.0,7.0,2.0,114.0,7.0,3.0,0.0,0.0,0.0,0.0,13.0,3.0,6.0,33.3
Teddy Alloh,21,fr FRA,DF,Eupen,6.0,2.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,9.0,9.0,17.0,0.0,0.46,0.02,0.08,0.02,0.0,0.46,0.0,0.0,0.0,13.6,0.0,0.04,0.0,0.0,78.0,93.0,83.9,1119.0,284.0,46.0,89.1,39.0,82.1,2.0,100.0,0.1,0.8,2.0,4.0,2.0,0.0,69.0,24.0,1.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,4.0,2.74,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,3.0,66.7,2.0,3.0,8.0,0.0,128.0,9.0,32.0,42.0,56.0,5.0,128.0,8.0,37.5,50.0,75.0,697.0,302.0,7.0,2.0,7.0,0.0,68.0,5.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0
Frederic Ananou,25,tg TOG,"DF,MF",Sint-Truiden,13.0,6.0,0.0,1.0,0.0,1.0,1.0,0.2,0.2,0.5,0.7,12.0,17.0,32.0,0.0,0.17,0.03,0.08,0.03,0.0,0.33,0.0,0.0,0.0,9.0,0.0,0.1,-0.2,-0.2,250.0,290.0,86.2,3718.0,714.0,151.0,92.1,100.0,90.0,21.0,47.6,0.3,0.5,7.0,6.0,4.0,1.0,254.0,36.0,3.0,1.0,1.0,11.0,33.0,0.0,0.0,0.0,0.0,5.0,1.99,9.0,1.0,0.0,0.0,1.0,1.0,12.0,7.0,4.0,4.0,4.0,6.0,15.0,40.0,7.0,6.0,7.0,0.0,337.0,14.0,95.0,164.0,83.0,11.0,337.0,3.0,66.7,0.0,236.0,1338.0,600.0,11.0,2.0,8.0,1.0,221.0,4.0,7.0,1.0,1.0,0.0,0.0,27.0,8.0,5.0,61.5
Stelios Andreou,21,cy CYP,DF,Charleroi,27.0,26.8,1.0,1.0,0.0,5.0,0.0,1.1,1.1,0.6,1.7,6.0,84.0,4.0,0.04,0.04,0.04,0.02,0.04,25.0,0.15,0.04,0.25,1.0,12.6,0.0,0.29,-0.1,-0.1,842.0,1064.0,79.1,16814.0,6120.0,317.0,83.6,505.0,84.0,200.0,65.5,0.6,0.4,2.0,55.0,1.0,0.0,1002.0,59.0,20.0,0.0,9.0,6.0,32.0,0.0,0.0,0.0,3.0,14.0,0.37,9.0,0.0,0.0,1.0,0.0,0.0,52.0,37.0,33.0,18.0,1.0,24.0,42.0,57.1,44.0,37.0,109.0,0.0,1365.0,177.0,720.0,595.0,60.0,11.0,1365.0,8.0,37.5,50.0,831.0,4087.0,1504.0,3.0,1.0,19.0,3.0,723.0,23.0,7.0,0.0,0.0,0.0,0.0,141.0,35.0,35.0,50.0
Kristian Arnstad,19,no NOR,"DF,MF",Anderlecht,14.0,7.2,0.0,1.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,13.0,26.0,29.0,0.0,0.14,0.03,0.04,0.03,0.0,0.98,0.0,0.0,0.0,21.7,1.0,0.03,-0.2,-0.2,308.0,398.0,77.4,4744.0,1289.0,194.0,86.1,135.0,74.1,41.0,56.1,0.5,0.7,6.0,21.0,1.0,0.0,345.0,53.0,8.0,0.0,3.0,11.0,42.0,3.0,2.0,0.0,0.0,10.0,1.95,12.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,9.0,1.0,2.0,9.0,14.0,64.3,6.0,5.0,21.0,1.0,488.0,27.0,136.0,219.0,137.0,12.0,488.0,19.0,26.3,68.4,310.0,1716.0,780.0,9.0,4.0,12.0,5.0,294.0,14.0,10.0,0.0,0.0,0.0,0.0,43.0,5.0,13.0,27.8
