player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ahmed Abdullahi,19,ng NGA,FW,Gent,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,74.0,26.0,1.0,100.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,5.0,2.0,0.0,8.0,1.0,0.0,100.0,4.0,30.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jonathan Afolabi,23,ie IRL,FW,Kortrijk,10.0,4.4,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,2.0,7.0,27.0,0.23,0.0,0.06,0.11,0.06,50.0,0.91,0.45,0.25,0.5,13.1,0.0,0.07,0.7,0.7,58.0,86.0,67.4,771.0,198.0,45.0,77.8,27.0,44.4,5.0,100.0,0.1,-0.5,4.0,5.0,3.0,0.0,84.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,0.0,0.0,1.0,0.0,126.0,3.0,10.0,62.0,56.0,11.0,126.0,4.0,25.0,75.0,97.0,629.0,141.0,3.0,0.0,19.0,6.0,99.0,10.0,4.0,3.0,0.0,0.0,0.0,13.0,8.0,5.0,61.5
Carlos Alberto,21,br BRA,"FW,MF",RWD Molenbeek,10.0,7.3,2.0,0.0,0.0,0.0,0.0,1.8,1.8,0.8,2.6,12.0,9.0,41.0,0.27,0.0,0.25,0.1,0.25,60.0,1.37,0.82,0.2,0.33,10.6,0.0,0.18,0.2,0.2,76.0,104.0,73.1,971.0,264.0,55.0,85.5,30.0,70.0,6.0,16.7,0.6,-0.8,4.0,2.0,2.0,0.0,94.0,6.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,4.0,2.0,1.5,9.0,0.0,0.0,2.0,0.0,0.0,11.0,8.0,6.0,3.0,2.0,4.0,11.0,36.4,12.0,9.0,8.0,0.0,206.0,9.0,44.0,85.0,88.0,22.0,206.0,18.0,33.3,66.7,114.0,845.0,422.0,8.0,6.0,20.0,5.0,102.0,9.0,7.0,1.0,0.0,0.0,0.0,27.0,8.0,19.0,29.6
Josimar Alcocer,19,cr CRC,"FW,MF",Westerlo,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,4.0,0.0,0.0,0.08,0.42,0.08,0.0,3.75,0.0,0.0,0.0,28.8,0.0,0.02,0.0,0.0,6.0,8.0,75.0,63.0,37.0,4.0,100.0,1.0,100.0,1.0,0.0,0.1,-0.1,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,9.0,1.0,14.0,2.0,0.0,100.0,11.0,53.0,5.0,1.0,1.0,1.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Thierry Ambrose,26,gp GLP,FW,Kortrijk,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.05,0.0,0.05,0.0,1.7,0.0,0.0,0.0,19.0,0.0,0.03,0.0,0.0,11.0,15.0,73.3,156.0,75.0,8.0,62.5,4.0,75.0,1.0,100.0,0.2,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,25.0,1.0,1.0,7.0,17.0,1.0,25.0,2.0,50.0,50.0,17.0,146.0,56.0,2.0,1.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,37.5
Mohamed Amoura,23,dz ALG,FW,Union SG,23.0,15.9,17.0,2.0,1.0,5.0,0.0,10.7,9.9,2.4,12.3,79.0,30.0,175.0,1.07,0.13,0.67,0.15,0.62,45.5,4.83,2.2,0.21,0.46,16.0,0.0,0.13,6.3,6.1,220.0,367.0,59.9,3154.0,800.0,183.0,65.6,108.0,55.6,26.0,57.7,3.3,-0.4,17.0,20.0,12.0,0.0,352.0,12.0,1.0,1.0,2.0,31.0,7.0,1.0,0.0,0.0,3.0,27.0,3.58,30.0,0.0,12.0,6.0,7.0,2.0,17.0,8.0,2.0,6.0,9.0,9.0,28.0,32.1,9.0,4.0,0.0,0.0,616.0,1.0,22.0,192.0,415.0,125.0,615.0,79.0,35.4,60.8,440.0,3745.0,1762.0,32.0,52.0,46.0,20.0,424.0,12.0,15.0,11.0,1.0,0.0,0.0,62.0,9.0,37.0,19.6
Francis Amuzu,23,be BEL,FW,Anderlecht,12.0,6.3,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2.5,35.0,13.0,59.0,0.47,0.0,0.16,0.24,0.16,26.3,3.01,0.79,0.16,0.6,17.8,1.0,0.05,2.0,2.0,141.0,181.0,77.9,2067.0,423.0,79.0,87.3,65.0,83.1,14.0,50.0,0.9,-1.5,9.0,5.0,10.0,4.0,169.0,12.0,4.0,0.0,0.0,22.0,5.0,3.0,1.0,0.0,0.0,8.0,3.16,9.0,1.0,1.0,5.0,4.0,0.0,6.0,2.0,2.0,1.0,3.0,4.0,6.0,66.7,3.0,1.0,2.0,0.0,256.0,5.0,20.0,88.0,156.0,26.0,256.0,24.0,54.2,33.3,205.0,1875.0,1046.0,22.0,11.0,11.0,8.0,190.0,4.0,24.0,4.0,0.0,0.0,0.0,27.0,5.0,2.0,71.4
Nilson Angulo,20,ec ECU,"FW,MF",Anderlecht,8.0,0.5,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,6.0,3.0,15.0,1.87,0.0,1.77,0.12,1.77,100.0,1.87,1.87,1.0,1.0,3.9,0.0,0.94,0.1,0.1,24.0,36.0,66.7,337.0,121.0,18.0,72.2,12.0,75.0,2.0,0.0,0.2,-0.1,1.0,2.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,54.0,1.0,3.0,15.0,38.0,13.0,54.0,6.0,33.3,33.3,37.0,359.0,214.0,3.0,4.0,5.0,1.0,32.0,1.0,4.0,2.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
Tolu Arokodare,22,ng NGA,FW,Genk,29.0,14.5,8.0,2.0,1.0,1.0,0.0,10.7,9.9,2.0,11.9,17.0,20.0,112.0,0.55,0.14,0.74,0.13,0.68,33.8,4.89,1.65,0.11,0.33,11.8,1.0,0.14,-2.7,-1.9,200.0,294.0,68.0,2546.0,442.0,166.0,71.7,82.0,69.5,11.0,54.5,1.4,0.0,19.0,12.0,5.0,0.0,290.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,3.03,29.0,0.0,3.0,8.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,3.0,14.0,21.4,10.0,6.0,33.0,0.0,557.0,35.0,47.0,219.0,297.0,123.0,556.0,26.0,42.3,50.0,366.0,2031.0,468.0,13.0,11.0,83.0,21.0,418.0,23.0,18.0,11.0,0.0,0.0,0.0,34.0,81.0,47.0,63.3
Felipe Augusto,19,br BRA,"FW,MF",Cercle Brugge,9.0,4.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9,1.9,3.0,8.0,37.0,0.2,0.2,0.2,0.18,0.2,16.7,2.43,0.41,0.08,0.5,13.8,0.0,0.08,0.0,0.0,50.0,95.0,52.6,611.0,208.0,49.0,63.3,31.0,48.4,3.0,0.0,0.6,0.1,8.0,5.0,4.0,1.0,94.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,2.84,10.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,2.0,6.0,33.3,10.0,1.0,4.0,0.0,160.0,0.0,10.0,58.0,93.0,31.0,160.0,7.0,42.9,57.1,87.0,433.0,101.0,1.0,2.0,17.0,5.0,101.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,20.0,44.0,31.3
