player,age,nationality,position,team,gk_games,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_pens_saved,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,xg_saved,xg_saved_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Arnaud Bodart,25,be BEL,GK,Standard Liège,29.0,29.0,35.0,1.21,134.0,98.0,77.6,5.0,1.0,16.7,0.0,4.0,0.0,36.4,0.24,1.4,0.05,113.0,402.0,28.1,725.0,131.0,42.3,36.9,224.0,42.4,37.4,29.0,7.0,0.59,11.5
Sinan Bolat,34,tr TUR,GK,Westerlo,26.0,26.0,44.0,1.69,132.0,89.0,68.9,5.0,0.0,0.0,1.0,6.0,1.0,41.9,0.3,-1.1,-0.04,108.0,323.0,33.4,798.0,106.0,32.7,33.0,184.0,33.7,34.0,20.0,5.6,0.65,12.6
Jean Butez,28,fr FRA,GK,Antwerp,30.0,30.0,27.0,0.9,97.0,71.0,77.3,12.0,0.0,0.0,0.0,3.0,1.0,28.3,0.25,2.3,0.08,173.0,459.0,37.7,1276.0,152.0,31.4,32.5,131.0,44.3,39.2,36.0,10.6,1.5,15.8
Valentin Cojocaru,27,ro ROU,GK,OH Leuven,3.0,3.0,8.0,2.67,15.0,7.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.29,0.2,0.08,14.0,19.0,73.7,80.0,18.0,20.0,28.7,19.0,15.8,27.3,2.0,6.5,0.67,18.1
Jo Coppens,32,be BEL,GK,Sint-Truiden,4.0,4.0,8.0,2.0,14.0,6.0,42.9,0.0,0.0,0.0,0.0,1.0,0.0,5.6,0.4,-2.4,-0.59,9.0,37.0,24.3,185.0,19.0,18.4,25.2,14.0,21.4,31.9,4.0,7.4,0.75,12.5
Gaëtan Coucke,24,be BEL,GK,Mechelen,30.0,30.0,34.0,1.13,124.0,90.0,73.4,10.0,1.0,50.0,1.0,1.0,1.0,39.8,0.31,6.8,0.23,182.0,428.0,42.5,841.0,104.0,32.7,32.3,252.0,60.7,42.7,32.0,6.9,0.7,11.9
Théo Defourny,31,be BEL,GK,RWD Molenbeek,30.0,29.8,66.0,2.22,178.0,110.0,69.7,4.0,3.0,20.0,1.0,13.0,1.0,68.0,0.31,3.0,0.1,196.0,486.0,40.3,659.0,89.0,52.4,39.5,229.0,61.6,43.3,11.0,2.1,0.34,9.9
Martin Delavallée,19,be BEL,GK,Charleroi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,100.0,44.0,2.0,100.0,48.0,0.0,0.0,0.0,0.0
Maxime Dupé,30,fr FRA,GK,Anderlecht,7.0,7.0,7.0,1.0,24.0,17.0,79.2,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21,0.0,0.0,21.0,62.0,33.9,232.0,18.0,23.3,28.5,36.0,22.2,27.6,6.0,5.9,1.0,14.4
Nick Gillekens,28,be BEL,GK,Westerlo,4.0,4.0,10.0,2.5,23.0,14.0,56.5,0.0,0.0,0.0,0.0,1.0,1.0,6.7,0.29,-2.3,-0.57,34.0,66.0,51.5,150.0,19.0,34.7,32.6,25.0,56.0,41.8,4.0,5.5,2.5,19.6
