player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Shuto Abe,25,jp JPN,MF,RWD Molenbeek,28.0,16.4,1.0,1.0,0.0,4.0,0.0,1.3,1.3,1.3,2.6,12.0,70.0,35.0,0.06,0.06,0.08,0.08,0.08,37.5,0.98,0.37,0.06,0.17,21.5,0.0,0.08,-0.3,-0.3,525.0,697.0,75.3,8876.0,2426.0,298.0,79.9,273.0,79.5,75.0,65.3,1.3,-0.3,9.0,59.0,7.0,2.0,681.0,10.0,5.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,6.0,19.0,1.34,16.0,0.0,0.0,3.0,2.0,1.0,47.0,32.0,23.0,17.0,7.0,18.0,46.0,39.1,21.0,13.0,37.0,0.0,889.0,45.0,255.0,486.0,156.0,21.0,889.0,14.0,42.9,57.1,577.0,3003.0,1072.0,15.0,2.0,32.0,14.0,508.0,32.0,16.0,1.0,0.0,1.0,0.0,97.0,10.0,17.0,37.0
Francis Abu,22,gh GHA,MF,Cercle Brugge,8.0,4.5,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.3,3.0,30.0,2.0,0.0,0.0,0.02,0.03,0.02,40.0,1.1,0.44,0.0,0.0,27.3,0.0,0.02,-0.1,-0.1,163.0,231.0,70.6,2812.0,1107.0,88.0,73.9,98.0,77.6,32.0,40.6,0.3,-0.1,4.0,22.0,5.0,0.0,206.0,23.0,18.0,0.0,0.0,9.0,1.0,4.0,1.0,3.0,2.0,3.0,2.21,8.0,2.0,0.0,0.0,0.0,0.0,18.0,8.0,4.0,12.0,2.0,11.0,13.0,84.6,7.0,8.0,2.0,0.0,281.0,7.0,34.0,185.0,66.0,0.0,281.0,3.0,100.0,0.0,138.0,573.0,215.0,5.0,0.0,7.0,0.0,110.0,6.0,9.0,0.0,0.0,0.0,0.0,55.0,10.0,3.0,76.9
Noah Adedeji,18,be BEL,"MF,FW",Genk,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,5.0,0.0,0.0,0.57,0.0,0.57,0.0,9.47,0.0,0.0,0.0,17.1,0.0,0.06,-0.1,-0.1,12.0,15.0,80.0,185.0,26.0,6.0,83.3,8.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,6.0,7.0,6.0,2.0,19.0,0.0,0.0,0.0,12.0,76.0,16.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éder Álvarez Balanta,30,co COL,MF,Club Brugge,15.0,5.5,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,4.0,29.0,3.0,0.0,0.0,0.05,0.0,0.05,50.0,0.36,0.18,0.0,0.0,5.2,0.0,0.13,-0.3,-0.3,226.0,292.0,77.4,3867.0,1187.0,122.0,81.1,119.0,79.8,34.0,58.8,0.1,0.0,0.0,23.0,0.0,0.0,285.0,7.0,5.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.54,2.0,0.0,0.0,1.0,0.0,0.0,12.0,6.0,4.0,6.0,2.0,6.0,14.0,42.9,11.0,16.0,12.0,0.0,364.0,23.0,106.0,225.0,38.0,3.0,364.0,5.0,60.0,20.0,227.0,1365.0,429.0,7.0,0.0,5.0,5.0,200.0,11.0,6.0,0.0,0.0,0.0,0.0,45.0,21.0,7.0,75.0
Steven Alzate,24,co COL,MF,Standard Liège,20.0,18.5,1.0,4.0,0.0,4.0,1.0,1.1,1.1,2.7,3.8,31.0,96.0,27.0,0.05,0.22,0.06,0.15,0.06,14.3,0.76,0.11,0.07,0.5,20.9,0.0,0.08,-0.1,-0.1,864.0,1024.0,84.4,15634.0,4199.0,401.0,88.3,421.0,88.6,146.0,71.2,2.6,1.3,17.0,78.0,13.0,0.0,966.0,55.0,42.0,7.0,6.0,19.0,6.0,6.0,3.0,3.0,3.0,15.0,2.33,34.0,5.0,1.0,2.0,1.0,0.0,44.0,28.0,15.0,23.0,6.0,22.0,37.0,59.5,27.0,18.0,20.0,1.0,1225.0,43.0,266.0,727.0,243.0,19.0,1225.0,33.0,54.5,45.5,874.0,4787.0,1753.0,39.0,4.0,34.0,29.0,802.0,20.0,21.0,1.0,0.0,0.0,0.0,124.0,13.0,24.0,35.1
Bill Antonio,20,zw ZIM,"MF,FW",Mechelen,12.0,6.4,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.1,36.0,16.0,73.0,0.47,0.0,0.15,0.18,0.15,50.0,1.25,0.62,0.38,0.75,14.6,0.0,0.12,2.0,2.0,120.0,185.0,64.9,2020.0,930.0,78.0,75.6,73.0,68.5,19.0,47.4,1.4,-1.2,5.0,5.0,10.0,4.0,161.0,24.0,0.0,1.0,0.0,27.0,24.0,0.0,0.0,0.0,0.0,13.0,2.34,12.0,1.0,2.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,1.0,3.0,6.0,50.0,7.0,5.0,11.0,0.0,287.0,5.0,56.0,71.0,163.0,38.0,287.0,34.0,23.5,70.6,178.0,1449.0,731.0,15.0,19.0,21.0,12.0,175.0,3.0,6.0,1.0,0.0,0.0,0.0,20.0,8.0,6.0,57.1
Dirk Asare,19,be BEL,MF,Mechelen,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Majeed Ashimeru,25,gh GHA,MF,Anderlecht,6.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,60.0,80.0,754.0,198.0,29.0,86.2,21.0,76.2,7.0,57.1,0.0,0.0,0.0,2.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,2.0,5.0,40.0,1.0,6.0,3.0,1.0,80.0,2.0,23.0,42.0,19.0,1.0,80.0,3.0,33.3,33.3,54.0,347.0,168.0,7.0,1.0,4.0,2.0,43.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,50.0
Lynnt Audoor,19,be BEL,MF,Kortrijk,11.0,4.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,1.0,22.0,14.0,0.0,0.0,0.0,0.05,0.0,0.0,0.22,0.0,0.0,0.0,25.5,0.0,0.02,0.0,0.0,155.0,190.0,81.6,2345.0,821.0,82.0,84.1,79.0,84.8,11.0,63.6,0.1,-0.2,2.0,16.0,1.0,0.0,182.0,8.0,5.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,1.35,5.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,7.0,4.0,1.0,8.0,13.0,61.5,8.0,10.0,11.0,0.0,252.0,16.0,56.0,140.0,58.0,7.0,252.0,4.0,100.0,0.0,177.0,975.0,305.0,9.0,0.0,11.0,7.0,157.0,10.0,11.0,0.0,0.0,0.0,0.0,28.0,7.0,5.0,58.3
Bilal Bafdili,18,be BEL,"MF,FW",Mechelen,11.0,1.9,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.0,1.3,4.0,7.0,16.0,1.05,0.0,0.7,0.0,0.7,66.7,3.16,2.11,0.33,0.5,16.8,0.0,0.26,0.7,0.7,38.0,51.0,74.5,575.0,157.0,27.0,81.5,17.0,70.6,6.0,50.0,0.1,0.0,0.0,1.0,0.0,0.0,45.0,6.0,1.0,0.0,0.0,6.0,0.0,4.0,2.0,1.0,0.0,0.0,2.63,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,0.0,2.0,0.0,86.0,2.0,12.0,35.0,40.0,6.0,86.0,9.0,33.3,66.7,61.0,317.0,93.0,3.0,0.0,12.0,3.0,57.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,5.0,28.6
