player,age,nationality,position,team,minutes_90s,gk_clean_sheets,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,xg_saved_per90,gk_pct_passes_launched,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_passes_per90,gk_passes_pct_launched
Noah Atubolu,21,de GER,GK,Freiburg,34.0,0.3392639976541384,1.3892899977166495,0.719874033065356,0.1311664639001094,-0.13101394402234393,-0.9023857167860051,0.11387197166790808,0.13299180260022278,-0.37650155702035126,0.6527688399408259,-0.32119427679723644
Oliver Baumann,33,de GER,GK,Hoffenheim,34.0,-1.4522265465114534,2.4457173453245193,3.419401657060441,1.5953502469710978,-0.13101394402234393,0.6627277215420255,-0.015831446647296802,-0.14284304723727612,1.9437102217868254,0.7029374024947085,0.611589102394736
Janis Blaswich,32,de GER,GK,RB Leipzig,21.0,-0.08710009275501233,-0.7235646974990901,-0.6298897789321865,0.8632583554356036,-1.0044402375046373,-0.9512955117337561,-1.465457886640767,0.13299180260022278,1.2312042424680862,1.486739749927454,0.17159694239852233
Koen Casteels,31,be BEL,GK,Wolfsburg,25.0,-0.6817257259863455,-0.7235646974990901,-0.6298897789321865,-0.9669713734031319,0.7424123494599495,-0.022009407726487934,0.18253848724654603,0.566446566630578,0.7927390244257851,0.29228491409910606,0.9635828303917069
Finn Dahmen,25,de GER,GK,Augsburg,31.0,-1.1629080565909584,0.44906965834564533,-0.6298897789321865,1.9613961927388448,0.7424123494599495,0.026900387221263016,-0.23709021906735292,-0.10343806868906213,0.9571634811916482,1.1744630417474815,0.31239443359731145
Péter Gulácsi,33,hu HUN,GK,RB Leipzig,13.0,1.0282988223332121,-0.7235646974990901,0.719874033065356,-1.333017319170879,-0.13101394402234393,0.9561864912285312,-1.6027909177980433,-0.8127276825569162,-0.011113875318433523,-0.13379002191795641,-1.412374833587846
Lukáš Hrádecký,33,fi FIN,GK,Leverkusen,33.0,1.5604925708974915,-0.7235646974990901,-0.6298897789321865,-0.2348794818676377,-1.0044402375046373,0.6627277215420255,-1.0000515032744424,0.9999013306609331,0.17157996553252505,-1.1245526874501834,-0.1275977263989022
Gregor Kobel,25,ch SUI,GK,Dortmund,26.3,0.07430917004273761,0.15855213775348115,-0.6298897789321865,1.5953502469710978,-0.13101394402234393,0.8094571063852783,-1.091606857379293,-1.6402322320694125,-0.7966973909775565,1.3484349496579269,0.6643881615942824
Kevin Müller,32,de GER,GK,Heidenheim,34.0,-0.556100592205078,-0.06329760524417148,-0.6298897789321865,0.8632583554356036,1.6158386429422429,0.3692689518555197,0.09861274598376661,-0.49748785417120334,-1.0707381522539947,0.7257412945646555,1.0515812623909497
Manuel Neuer,37,de GER,GK,Bayern Munich,22.8,0.08649100119728478,1.035386836268013,0.719874033065356,-1.333017319170879,-1.0044402375046373,-0.7067465369950013,-1.167902985800002,-0.8521326611051304,0.5735064154046344,0.7150994782653468,1.7731684047847402
