player,age,nationality,position,team,gk_games,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_pens_saved,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,xg_saved,xg_saved_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Noah Atubolu,21,de GER,GK,Freiburg,34.0,34.0,58.0,1.71,158.0,99.0,65.2,10.0,2.0,40.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,31.0,6.4,0.88,13.6
Daniel Batz,32,de GER,GK,Mainz 05,4.0,4.0,3.0,0.75,17.0,14.0,82.4,1.0,0.0,0.0,1.0,0.0,0.0,2.4,0.15,-0.6,-0.15,18.0,58.0,31.0,132.0,14.0,38.6,34.7,21.0,33.3,34.8,4.0,10.5,0.5,11.3
Oliver Baumann,33,de GER,GK,Hoffenheim,34.0,34.0,66.0,1.94,211.0,143.0,69.7,2.0,3.0,60.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1159.0,165.0,33.7,32.7,249.0,55.4,44.9,31.0,5.7,2.15,16.7
Janis Blaswich,32,de GER,GK,RB Leipzig,21.0,21.0,30.0,1.43,76.0,46.0,65.8,5.0,0.0,0.0,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,16.0,6.4,1.76,17.6
Fabian Bredlow,28,de GER,GK,Stuttgart,4.0,4.0,3.0,0.75,22.0,19.0,86.4,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.23,2.0,0.49,22.0,61.0,36.1,168.0,15.0,31.5,31.0,11.0,72.7,51.7,1.0,1.8,1.25,16.6
Alexander Brunst,28,de GER,GK,Darmstadt 98,3.0,3.0,10.0,3.33,17.0,7.0,41.2,0.0,0.0,0.0,0.0,2.0,0.0,6.3,0.37,-3.7,-1.25,33.0,72.0,45.8,129.0,13.0,41.1,36.0,21.0,90.5,59.6,3.0,5.9,3.0,19.1
Koen Casteels,31,be BEL,GK,Wolfsburg,25.0,25.0,39.0,1.56,115.0,78.0,67.8,4.0,0.0,0.0,0.0,2.0,2.0,36.4,0.3,-0.6,-0.03,161.0,390.0,41.3,786.0,118.0,36.3,35.0,161.0,65.2,48.4,25.0,7.5,1.52,15.7
Finn Dahmen,25,de GER,GK,Augsburg,31.0,31.0,52.0,1.68,158.0,106.0,71.5,3.0,2.0,22.2,0.0,10.0,2.0,49.3,0.26,-0.7,-0.02,169.0,450.0,37.6,1151.0,92.0,30.8,32.4,187.0,51.3,44.3,28.0,5.8,1.61,15.0
Jens Grahl,34,de GER,GK,Eint Frankfurt,2.0,2.0,2.0,1.0,9.0,7.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.15,-0.6,-0.31,4.0,29.0,13.8,77.0,15.0,31.2,34.4,15.0,33.3,37.9,4.0,12.1,2.0,15.7
Péter Gulácsi,33,hu HUN,GK,RB Leipzig,13.0,13.0,9.0,0.69,41.0,33.0,78.0,5.0,0.0,0.0,1.0,1.0,1.0,10.3,0.25,2.3,0.17,22.0,79.0,27.8,373.0,58.0,12.9,25.1,97.0,32.0,32.2,7.0,4.0,1.08,14.5
Lukáš Hrádecký,33,fi FIN,GK,Leverkusen,33.0,33.0,24.0,0.73,102.0,78.0,76.5,15.0,0.0,0.0,0.0,4.0,0.0,27.5,0.27,3.5,0.11,71.0,202.0,35.1,736.0,165.0,20.8,27.6,145.0,33.8,34.5,27.0,8.6,1.18,16.5
