player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Brenden Aaronson,22,us USA,"MF,FW",Union Berlin,30.0,14.1,2.0,2.0,0.0,3.0,1.0,2.0,2.0,1.9,3.8,37.0,56.0,91.0,0.14,0.14,0.14,0.13,0.14,38.9,1.28,0.5,0.11,0.29,18.4,0.0,0.11,0.0,0.0,365.0,472.0,77.3,4890.0,1506.0,240.0,85.8,130.0,80.8,32.0,59.4,2.0,0.1,22.0,30.0,14.0,3.0,439.0,29.0,3.0,5.0,1.0,22.0,12.0,6.0,2.0,3.0,4.0,21.0,3.76,41.0,1.0,8.0,3.0,0.0,0.0,32.0,18.0,13.0,13.0,6.0,16.0,32.0,50.0,26.0,2.0,4.0,0.0,675.0,11.0,108.0,301.0,293.0,47.0,675.0,77.0,44.2,53.2,406.0,2721.0,1387.0,29.0,9.0,41.0,38.0,457.0,15.0,25.0,5.0,0.0,0.0,0.0,88.0,13.0,16.0,44.8
Paxten Aaronson,19,us USA,MF,Eint Frankfurt,7.0,1.1,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,5.0,7.0,0.0,0.89,0.11,0.07,0.11,100.0,1.78,1.78,0.0,0.0,15.1,0.0,0.06,-0.1,-0.1,41.0,50.0,82.0,576.0,71.0,25.0,80.0,22.0,90.9,2.0,0.0,0.1,0.9,1.0,4.0,2.0,0.0,48.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,2.0,0.0,0.0,0.0,72.0,0.0,6.0,39.0,28.0,5.0,72.0,7.0,28.6,57.1,43.0,193.0,50.0,0.0,1.0,5.0,4.0,46.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
Amine Adli,23,ma MAR,"MF,FW",Leverkusen,23.0,10.0,4.0,6.0,0.0,5.0,0.0,3.3,3.3,2.3,5.6,32.0,39.0,131.0,0.4,0.6,0.33,0.23,0.33,55.6,2.71,1.5,0.15,0.27,13.7,0.0,0.12,0.7,0.7,367.0,459.0,80.0,4683.0,1110.0,291.0,86.6,110.0,82.7,18.0,38.9,2.9,3.7,21.0,19.0,18.0,3.0,447.0,11.0,2.0,2.0,1.0,23.0,7.0,0.0,0.0,0.0,1.0,10.0,5.22,39.0,0.0,6.0,3.0,4.0,0.0,16.0,7.0,2.0,10.0,4.0,7.0,17.0,41.2,10.0,6.0,5.0,0.0,575.0,7.0,52.0,231.0,299.0,66.0,575.0,27.0,48.1,37.0,339.0,1768.0,1021.0,25.0,16.0,17.0,10.0,460.0,14.0,28.0,7.0,0.0,0.0,0.0,36.0,21.0,22.0,48.8
Kofi Amoako,18,de GER,MF,Wolfsburg,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,28,de GER,"MF,DF",Leverkusen,28.0,18.8,4.0,2.0,0.0,4.0,0.0,1.7,1.7,1.8,3.5,20.0,97.0,14.0,0.21,0.11,0.09,0.1,0.09,39.1,1.22,0.48,0.17,0.44,20.0,2.0,0.07,2.3,2.3,1346.0,1494.0,90.1,20529.0,6451.0,789.0,94.9,542.0,89.9,105.0,70.5,2.2,0.2,22.0,117.0,19.0,3.0,1458.0,34.0,32.0,5.0,4.0,14.0,2.0,0.0,0.0,0.0,2.0,10.0,2.88,47.0,0.0,0.0,4.0,2.0,1.0,30.0,18.0,8.0,14.0,8.0,13.0,24.0,54.2,15.0,20.0,17.0,0.0,1638.0,53.0,319.0,1049.0,281.0,16.0,1638.0,12.0,58.3,33.3,885.0,4005.0,1978.0,34.0,1.0,13.0,7.0,1235.0,23.0,14.0,0.0,0.0,0.0,0.0,122.0,20.0,22.0,47.6
Asaf Arania,17,il ISR,MF,Darmstadt 98,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,60.0,2.0,3.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,16.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Arnold,29,de GER,MF,Wolfsburg,30.0,27.8,2.0,1.0,0.0,9.0,0.0,1.0,1.0,3.9,4.9,20.0,143.0,19.0,0.07,0.04,0.04,0.14,0.04,37.5,1.15,0.43,0.06,0.17,27.8,8.0,0.03,1.0,1.0,1285.0,1582.0,81.2,25047.0,7547.0,549.0,90.5,664.0,88.9,316.0,55.4,4.4,-2.9,48.0,151.0,28.0,11.0,1404.0,171.0,87.0,4.0,17.0,110.0,1.0,58.0,39.0,13.0,7.0,19.0,2.94,47.0,28.0,1.0,3.0,2.0,1.0,51.0,31.0,15.0,27.0,9.0,28.0,57.0,49.1,23.0,24.0,60.0,0.0,1827.0,91.0,429.0,1089.0,324.0,5.0,1827.0,11.0,63.6,27.3,988.0,4240.0,1846.0,15.0,1.0,20.0,17.0,1163.0,37.0,46.0,0.0,0.0,0.0,0.0,174.0,14.0,30.0,31.8
Aymen Barkok,25,ma MAR,"MF,FW",Mainz 05,13.0,3.6,1.0,0.0,1.0,2.0,0.0,1.7,0.9,0.3,1.2,14.0,16.0,33.0,0.28,0.0,0.48,0.07,0.26,54.5,3.08,1.68,0.09,0.17,17.2,0.0,0.08,-0.7,0.1,118.0,184.0,64.1,1842.0,639.0,90.0,71.1,59.0,66.1,20.0,45.0,0.6,-0.3,5.0,11.0,4.0,1.0,171.0,13.0,0.0,1.0,0.0,13.0,8.0,4.0,2.0,2.0,0.0,4.0,4.21,10.0,2.0,1.0,1.0,1.0,0.0,9.0,5.0,2.0,6.0,1.0,3.0,6.0,50.0,7.0,2.0,1.0,0.0,238.0,2.0,19.0,116.0,103.0,19.0,237.0,8.0,25.0,50.0,123.0,655.0,344.0,4.0,5.0,12.0,5.0,174.0,15.0,3.0,0.0,0.0,0.0,0.0,18.0,11.0,14.0,44.0
Leandro Barreiro Martins,23,lu LUX,MF,Mainz 05,31.0,29.0,4.0,1.0,0.0,8.0,0.0,4.5,4.5,1.1,5.6,22.0,93.0,46.0,0.14,0.03,0.16,0.04,0.16,34.2,1.31,0.45,0.11,0.31,16.4,0.0,0.12,-0.5,-0.5,679.0,925.0,73.4,10846.0,3124.0,425.0,79.5,344.0,77.6,92.0,58.7,1.1,-0.1,20.0,74.0,12.0,2.0,900.0,20.0,18.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,5.0,24.0,2.0,40.0,1.0,1.0,6.0,8.0,2.0,65.0,40.0,19.0,37.0,9.0,30.0,50.0,60.0,45.0,36.0,53.0,0.0,1303.0,74.0,337.0,709.0,268.0,68.0,1303.0,33.0,45.5,45.5,487.0,2084.0,922.0,20.0,6.0,42.0,14.0,672.0,58.0,52.0,3.0,0.0,0.0,0.0,144.0,39.0,63.0,38.2
Christoph Baumgartner,23,at AUT,"MF,FW",RB Leipzig,32.0,12.9,5.0,1.0,0.0,3.0,0.0,3.7,3.7,1.6,5.2,36.0,47.0,86.0,0.39,0.08,0.28,0.12,0.28,35.5,2.41,0.85,0.16,0.45,14.7,0.0,0.12,1.3,1.3,340.0,456.0,74.6,4651.0,1244.0,236.0,80.1,137.0,81.8,26.0,53.8,1.6,-0.6,16.0,31.0,12.0,1.0,443.0,8.0,5.0,4.0,1.0,8.0,3.0,0.0,0.0,0.0,5.0,15.0,3.5,31.0,0.0,3.0,5.0,5.0,1.0,26.0,13.0,10.0,12.0,4.0,14.0,38.0,36.8,20.0,5.0,14.0,0.0,662.0,17.0,94.0,305.0,275.0,67.0,662.0,37.0,48.6,40.5,390.0,2146.0,1252.0,31.0,13.0,38.0,28.0,479.0,27.0,27.0,1.0,1.0,0.0,0.0,40.0,20.0,29.0,40.8
